ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist
002594.SZ,20150925,57.67,60.18,56.28,58.52,57.8,0.72,1.25,176073.97,1034477.5489,57.327999999999996,59.114999999999995,52.84599999999999,0.8589900940482806,-0.34503951144256106,1.2040296054908417
002594.SZ,20150928,59.2,62.6,58.85,61.8,58.52,3.28,5.6,175365.07,1067749.8464,60.902,59.114999999999995,52.84599999999999,1.3394956222235521,-0.008132484709338417,1.3476281069328906
002594.SZ,20150929,60.45,62.5,59.55,61.08,61.8,-0.72,-1.17,130593.53,793899.2622,60.902,59.114999999999995,52.84599999999999,1.6432592625634541,0.3221458647452201,1.321113397818234
002594.SZ,20150930,63.05,64.0,59.5,60.01,61.08,-1.07,-1.75,153533.78,948363.0467,60.902,59.114999999999995,52.84599999999999,1.7771679920313161,0.6131502902024393,1.1640177018288769
002594.SZ,20151008,63.13,64.8,60.6,60.68,60.01,0.67,1.12,245787.96,1535450.7259,60.902,59.114999999999995,52.84599999999999,1.915276905522873,0.873575613266526,1.0417012922563471
002594.SZ,20151009,60.7,62.18,59.25,60.94,60.68,0.26,0.43,149604.16,907526.4673,60.902,59.114999999999995,52.84599999999999,2.0223961180245453,1.1033397142181298,0.9190564038064155
002594.SZ,20151012,61.1,63.99,58.5,59.46,60.94,-1.48,-2.43,433964.93,2661699.2723,59.903999999999996,61.62800000000001,66.08466666666666,1.965211499693666,1.275714071313237,0.6894974283804289
002594.SZ,20151013,58.99,60.5,58.16,60.46,59.46,1.0,1.68,199954.56,1191402.0368,59.903999999999996,61.62800000000001,66.08466666666666,1.9777852431701177,1.4161283056846132,0.5616569374855045
002594.SZ,20151014,60.45,60.46,58.35,58.65,60.46,-1.81,-2.99,170178.91,1006418.4820000001,59.903999999999996,61.62800000000001,66.08466666666666,1.8207101391340572,1.4970446723745021,0.3236654667595551
002594.SZ,20151015,58.3,60.64,58.2,60.35,58.65,1.7,2.9,170151.65,1019440.3927,59.903999999999996,61.62800000000001,66.08466666666666,1.812509301052998,1.5601375981102013,0.25237170294279676
002594.SZ,20151016,60.9,62.51,59.81,60.6,60.35,0.25,0.41,200108.47,1219171.0359,59.903999999999996,61.62800000000001,66.08466666666666,1.8053717863051233,1.6091844357491856,0.19618735055593772
002594.SZ,20151019,61.5,66.66,61.37,66.66,60.6,6.06,10.0,323398.46,2074792.553,63.352,61.62800000000001,66.08466666666666,2.2626244823139956,1.7398724450621477,0.5227520372518479
002594.SZ,20151020,68.88,68.97,64.51,66.22,66.66,-0.44,-0.66,327913.04,2168912.5038,63.352,61.62800000000001,66.08466666666666,2.5599862870809034,1.9038952134658989,0.6560910736150045
002594.SZ,20151021,65.51,65.95,59.6,59.75,66.22,-6.47,-9.77,338379.39,2113130.2668,63.352,61.62800000000001,66.08466666666666,2.247663071019865,1.972648784976692,0.2750142860431728
002594.SZ,20151022,59.79,62.31,57.69,61.44,59.75,1.69,2.83,306107.23,1846113.3323,63.352,61.62800000000001,66.08466666666666,2.112165815461843,2.000552191073722,0.11161362438812095
002594.SZ,20151023,63.01,64.66,61.7,62.69,61.44,1.25,2.03,301703.12,1898851.2976,63.352,61.62800000000001,66.08466666666666,2.0816518310165364,2.016772119062285,0.06487971195425146
002594.SZ,20151026,64.0,68.96,62.75,68.96,62.69,6.27,10.0,633458.53,4287444.5859,68.422,67.62100000000001,66.08466666666666,2.534193275328427,2.1202563503155134,0.41393692501291346
002594.SZ,20151027,68.2,69.19,65.0,68.35,68.96,-0.61,-0.88,295275.22,2002712.7247,68.422,67.62100000000001,66.08466666666666,2.8112078738596367,2.258446655024338,0.5527612188352986
002594.SZ,20151028,68.27,71.7,67.33,68.81,68.35,0.46,0.67,309746.25,2164859.1358,68.422,67.62100000000001,66.08466666666666,3.0329007032062094,2.4133374646607124,0.619563238545497
002594.SZ,20151029,69.5,69.85,66.38,68.89,68.81,0.08,0.12,188263.72,1274021.7348,68.422,67.62100000000001,66.08466666666666,3.1784104617745257,2.566352064083475,0.6120583976910505
002594.SZ,20151030,68.15,69.76,65.8,67.1,68.89,-1.79,-2.6,183150.35,1243187.512,68.422,67.62100000000001,66.08466666666666,3.1134006092366064,2.6757617731141012,0.4376388361225052
002594.SZ,20151102,66.0,66.88,63.0,63.66,67.1,-3.44,-5.13,217540.84,1417507.3917,66.82000000000001,67.62100000000001,66.08466666666666,2.7525706608466507,2.691123550660611,0.061447110186039655
002594.SZ,20151103,63.81,66.18,62.4,65.49,63.66,1.83,2.87,200332.47,1291132.7479,66.82000000000001,67.62100000000001,66.08466666666666,2.584483713693878,2.6697955832672644,-0.08531186957338655
002594.SZ,20151104,65.4,70.23,65.02,69.9,65.49,4.41,6.73,308797.34,2079295.1199,66.82000000000001,67.62100000000001,66.08466666666666,2.775133727022123,2.690863212018236,0.08427051500388671
002594.SZ,20151105,69.0,69.5,67.2,67.3,69.9,-2.6,-3.72,267191.8,1820855.7898,66.82000000000001,67.62100000000001,66.08466666666666,2.6854705325981243,2.689784676134214,-0.00431414353608961
002594.SZ,20151106,66.8,68.8,66.6,67.75,67.3,0.45,0.67,251361.58,1695306.5367,66.82000000000001,67.62100000000001,66.08466666666666,2.620515374202135,2.6759308157477983,-0.055415441545663136
002594.SZ,20151109,67.15,73.05,66.7,71.6,67.75,3.85,5.68,352803.68,2465833.6541,70.3,69.005,66.08466666666666,2.846883664641723,2.710121385526583,0.13676227911513994
002594.SZ,20151110,71.0,71.25,68.88,69.8,71.6,-1.8,-2.51,260700.73,1823695.1065,70.3,69.005,66.08466666666666,2.848204876072842,2.737738083635835,0.11046679243700686
002594.SZ,20151111,70.0,71.02,67.4,68.8,69.8,-1.0,-1.43,265269.81,1825453.9918,70.3,69.005,66.08466666666666,2.7370097582359847,2.737592418555865,-0.0005826603198801905
002594.SZ,20151112,68.95,71.28,68.0,70.6,68.8,1.8,2.62,322355.57,2256188.8798,70.3,69.005,66.08466666666666,2.7622898253639647,2.742531899917485,0.019757925446479696
002594.SZ,20151113,70.0,74.83,68.18,70.7,70.6,0.1,0.14,402411.95,2876014.4318,70.3,69.005,66.08466666666666,2.7585942674116524,2.7457443734163185,0.012849893995333872
002594.SZ,20151116,68.5,69.8,68.19,69.49,70.7,-1.21,-1.71,195330.44,1348563.8626,67.71000000000001,69.005,66.08466666666666,2.6277376990169756,2.72214303853645,-0.09440533951947438
002594.SZ,20151117,70.3,70.6,66.7,67.88,69.49,-1.61,-2.32,302548.36,2077666.4365,67.71000000000001,69.005,66.08466666666666,2.366835969374222,2.6510816247040045,-0.28424565532978274
002594.SZ,20151118,67.95,68.8,65.67,66.18,67.88,-1.7,-2.5,187859.14,1258937.8689,67.71000000000001,69.005,66.08466666666666,1.999840757040161,2.520833451171236,-0.520992694131075
002594.SZ,20151119,66.5,68.67,65.5,68.4,66.18,2.22,3.35,175349.25,1170532.6542,67.71000000000001,69.005,66.08466666666666,1.8666127045614473,2.3899893018492784,-0.523376597287831
002594.SZ,20151120,68.12,68.2,66.27,66.6,68.4,-1.8,-2.63,169425.48,1133723.9024,67.71000000000001,69.005,66.08466666666666,1.5973700685218688,2.2314654551837965,-0.6340953866619277
002594.SZ,20151123,66.0,66.99,64.7,64.9,66.6,-1.7,-2.55,171631.87,1126657.6908,63.71200000000001,63.14200000000001,62.87866666666666,1.2326088001886149,2.03169412418476,-0.7990853239961453
002594.SZ,20151124,64.99,64.99,62.86,64.51,64.9,-0.39,-0.6,187262.28,1194439.5237,63.71200000000001,63.14200000000001,62.87866666666666,0.9016692446547268,1.8056891482787534,-0.9040199036240266
002594.SZ,20151125,64.2,65.69,63.82,65.12,64.51,0.61,0.95,157092.62,1019115.4698,63.71200000000001,63.14200000000001,62.87866666666666,0.6807716527731316,1.580705649177629,-0.8999339964044974
