ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist
002770.SZ,20200805,1.82,1.92,1.81,1.9,1.83,0.07,3.8251,485167.48,91526.259,1.8240000000000003,1.843,1.889,-0.17810130626441256,-0.23457725505070753,0.05647594878629497
002770.SZ,20200806,1.88,1.91,1.84,1.88,1.9,-0.02,-1.0526,401347.58,74967.129,1.8619999999999997,1.843,1.889,-0.1619836604688294,-0.2200585361343319,0.05807487566550251
002770.SZ,20200807,1.87,1.88,1.84,1.85,1.88,-0.03,-1.5957,239290.3,44390.960999999996,1.8619999999999997,1.843,1.889,-0.14990307005384174,-0.20602744291823388,0.05612437286439215
002770.SZ,20200810,1.86,1.87,1.84,1.86,1.85,0.01,0.5405,204106.8,37875.347,1.8619999999999997,1.843,1.889,-0.1379322021212579,-0.1924083947588387,0.0544761926375808
002770.SZ,20200811,1.86,1.93,1.82,1.87,1.86,0.01,0.5376,366731.38,68591.308,1.8619999999999997,1.843,1.889,-0.1261837192439199,-0.17916345965585495,0.05297974041193504
002770.SZ,20200812,1.85,1.86,1.82,1.85,1.87,-0.02,-1.0695,233620.34,42986.009000000005,1.8619999999999997,1.843,1.889,-0.11713651790989243,-0.16675807130666245,0.04962155339677002
002770.SZ,20200813,1.84,1.9,1.83,1.87,1.85,0.02,1.0811,245743.75,46048.91,1.9119999999999997,1.903,1.889,-0.10711792406802023,-0.154830041858934,0.04771211779091378
002770.SZ,20200814,1.87,1.92,1.86,1.9,1.87,0.03,1.6043,241852.9,45803.412000000004,1.9119999999999997,1.903,1.889,-0.09565471893187505,-0.14299497727352223,0.04734025834164718
002770.SZ,20200817,1.9,1.93,1.88,1.92,1.9,0.02,1.0526,243836.86,46459.835999999996,1.9119999999999997,1.903,1.889,-0.08398805144421884,-0.13119359210766154,0.04720554066344271
002770.SZ,20200818,1.91,1.98,1.9,1.95,1.92,0.03,1.5625,370325.13,72116.522,1.9119999999999997,1.903,1.889,-0.07149720880922628,-0.11925431544797449,0.047757106638748215
