shijian,score,Read_count
2020602,0.37180089422459367,40482
2020603,0.31358017171553537,61730
2020604,0.3739219512575673,64092
2020605,0.31216215863436797,58991
2020606,0.4308731218949164,19927
2020607,0.42161763296227595,12936
2020608,0.28069814152465106,28518
2020609,0.39446191070092296,44099
2020610,0.2589186159390804,34406
2020611,0.3033171771476167,26413
2020612,0.3089698127832101,33544
2020613,0.37458490243902437,8200
2020614,0.36814465985805783,5777
2020615,0.2857430173249589,23723
2020616,0.25954080875601426,27227
2020617,0.31869488045414995,48266
2020618,0.3190883325119107,30435
2020619,0.2871325005284295,23655
2020620,0.35550527065527066,5616
2020621,0.3561661863098301,7772
2020622,0.311716721182266,25375
2020623,0.23274509553432565,18004
2020624,0.2270185967609676,97560
2020625,0.22441468978805396,25950
2020626,0.1780437314510307,24934
2020627,0.15327666851690322,37833
2020628,0.246720478756221,48626
2020629,0.2763297769274607,98264
2020630,0.24598986162507738,69449
2020701,0.2305166749327442,66537
2020702,0.2668199948207839,65647
2020703,0.20230661128601288,75598
2020704,0.23500517604055313,28999
2020705,0.30947743393009386,23460
2020706,0.2779883175950192,72117
2020707,0.3548329647873982,73894
2020708,0.29380412702035696,70099
2020709,0.31469252333360864,60535
2020710,0.3111604988281589,34561
2020711,0.39803731212607624,6853
2020712,0.36786964159774316,15597
2020713,0.2536396392864144,5101
2020714,0.3173098297161936,14975
2020715,0.22897056036595326,12242
2020716,0.3199197769414356,21788
2020717,0.3104444968833482,44920
2020718,0.30121613502787964,19907
2020719,0.3488275703233308,22361
2020720,0.2544624014153205,60481
2020721,0.28768308764606126,53659
2020722,0.31343297074050375,34382
2020723,0.3166551055300082,33924
2020724,0.2920558393061495,33206
2020725,0.12643928109189317,16998
2020726,0.37640691777188334,9425
2020727,0.2587699705124459,37643
2020728,0.36395628916498624,46119
2020729,0.307578307908421,40577
2020730,0.24059582504028051,21102
2020731,0.30057946443996547,17365
2020801,0.3872688433575677,7565
2020802,0.28360384910813347,11717
2020803,0.33232085131513195,22013
2020804,0.36239246496941,25335
2020805,0.4325605836773119,41427
2020806,0.31677474092776126,26537
2020807,0.3298601598002497,40050
2020808,0.17689290701693747,43395
2020809,0.2801137445252178,22147
2020810,0.298065330284712,31927
2020811,0.3149814392516984,29293
2020812,0.3869440180272267,21523
2020813,0.3033463265039802,22989
2020814,0.30170449012079786,21358
2020815,0.47889703088981095,10845
2020816,0.44092197221903345,8711
2020817,0.3264613679867284,23509
2020818,0.36936778305423645,20005
2020819,0.4157685219666851,19871
2020820,0.40220655517108805,15606
2020821,0.3748390981621879,25193
2020822,0.23932515954835543,8148
2020823,0.32487544056992873,5334
2020824,0.365075858428435,19891
2020825,0.3099291619990604,27673
2020826,0.2479364385225677,26343
2020827,0.3532675151253242,23140
2020828,0.45612432860400304,31576
2020829,0.3662794390434686,8949
2020830,0.3719349242424243,9240
2020831,0.3218934483658182,26833
2020901,0.3681041208791209,17472
2020902,0.3318558308282368,19294
