ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj,score
600196.SH,20200520,32.84,32.89,32.2,32.32,32.94,-0.62,-1.8822,365268.93,1187698.4009999998,31.872,31.362,32.25366666666667,,,,25.577122153209103,25.82039337474121,25.09057971014489,0.44158696700000005
600196.SH,20200521,32.32,33.55,31.92,33.01,32.32,0.69,2.1349,474209.02,1558568.845,31.872,31.362,32.25366666666667,,,,29.042422023599034,28.786224870530248,29.554816329736585,0.42736627200000005
600196.SH,20200522,32.72,32.76,30.97,31.14,33.01,-1.87,-5.665,466348.88,1479665.219,31.872,31.362,32.25366666666667,,,,19.10999820618226,24.57651412766346,8.176966363219861,0.49820266799999996
600196.SH,20200525,31.13,31.74,31.0,31.34,31.14,0.2,0.6423,204561.15,641229.708,31.872,31.362,32.25366666666667,,,,20.435755781939854,22.86272533724038,15.581816671338807,0.387577361
600196.SH,20200526,31.55,31.88,31.38,31.55,31.34,0.21,0.6701,188309.87,594364.39,31.872,31.362,32.25366666666667,,,,11.943164362519248,17.162972783547122,1.5035475204634992,0.45498881799999996
600196.SH,20200527,31.59,31.69,30.58,31.02,31.55,-0.53,-1.6799,273627.45,848653.8520000002,30.852000000000004,31.362,32.25366666666667,,,,14.50809037264373,15.629003505700945,12.266264106529304,0.312487903
600196.SH,20200528,30.9,31.25,29.96,30.32,31.02,-0.7,-2.2566,304420.21,926706.6329999999,30.852000000000004,31.362,32.25366666666667,,,,13.437746698388061,13.296333811183677,13.720572472796828,0.17143762399999998
600196.SH,20200529,30.36,30.96,30.33,30.75,30.32,0.43,1.4182,237235.26,728447.291,30.852000000000004,31.362,32.25366666666667,,,,13.599158228992719,13.848331766674836,13.100811153628495,0.547749894
600196.SH,20200601,31.2,31.44,31.01,31.29,30.75,0.54,1.7561,250931.26,784506.703,30.852000000000004,31.362,32.25366666666667,,,,21.72157105788286,16.25282532842121,32.65906251680616,0.391051892
600196.SH,20200602,31.2,31.2,30.68,30.88,31.29,-0.41,-1.3103,263394.24,813685.4759999998,30.852000000000004,31.362,32.25366666666667,,,,27.329832710167903,20.88352066568116,40.222456799141405,0.474757065
600196.SH,20200603,30.98,31.82,30.91,31.35,30.88,0.47,1.5219999999999998,343677.21,1080030.7759999998,31.152000000000005,31.995,32.25366666666667,,,,37.438983950126016,28.83012923939226,54.65669337159353,0.423162615
600196.SH,20200604,31.52,31.55,30.85,31.01,31.35,-0.34,-1.0845,197131.22,612813.168,31.152000000000005,31.995,32.25366666666667,,,,43.31903269664414,36.02928311897936,57.89853185197374,0.490972819
600196.SH,20200605,30.99,31.22,30.55,31.2,31.01,0.19,0.6127,192784.0,595018.8420000001,31.152000000000005,31.995,32.25366666666667,,,,56.30456349206353,45.687526712944575,77.53863705030146,0.44658565299999997
600196.SH,20200608,31.18,31.38,30.83,30.94,31.2,-0.26,-0.8333,183440.65,569472.446,31.152000000000005,31.995,32.25366666666667,,,,57.31966845878139,52.31442154916303,67.33016227801812,0.223916769
