shijian,score,Read_count
2020424,0.4966530554298819,418371681237530547632752969612202338163810394930128873814335896877861902128366621284396471614417452305400367257326556331459337080631389440080839269736043286291316275325170742
2020425,0.6898899153835483,141949363368104374239815222904103083106536373637754390
2020426,0.2975699833856378,105081933537911547943857967702802719
2020427,0.3843041915152885,7749291616345335293349539490968734348232112233848154517483914345595774162439826354331024627827323732436629127230435923027327227825526945141053535676541940303223093152633393112628272502682655832542454232903292462743002662753902914312972532903612751859462392111464158047340343241960718282814591376286372535744725381576366674693932386108050239869729834771212805393595013903814453106628034053766414102513776135122697283262298604276358262454472257191527626627529348183653674313622696463441432355313273426362324314398263543
2020428,0.5182866254301617,46147819382777607768798334498510404748982624149119946273542905716209801110153812462843911507790738019788133262245797986186182155301571402507328222777074885712562455913363233144172903552762133022772083174073563866209276240293225274305321237299269283330407237252258349632031636528125333436842733539123833065224361080826385894799531070425388328395274464467560205450212391204318208218297240395207183237249130842402417312302477463744249263254291214228236346592224847320623001259226307895235219242232204208209226287272188204204244222225211221194255279200212455213217229215245211248218229277208317407
2020429,0.32283197973842925,516398509542249730672659181335434446245230944733498651731830426930130723264562938454942153879143182587594534614068694862332822588622622032273012926093873943162502442602129192943744192371992112682673952002262846632332072162503142161955688791015250304365208243404245871532442850560278038833636466616233144663648708212693817888019613312792671400372111396341969838924332613386281753323042742478316353695365137483225163985095422497208266301195206267212171415238235270290204237304231248187241268271207275234196188423028723521927428022820023323824426229523128322524521512312512103282272351954572572462452633282292892982174582202412072104742022002142352032073134682181521902522152452703014794582713132672602632461812302252082292023313532252061922292233043282381631901903195471652192561552491851662031843051742592312011691792353752241951512282623531982081954322536662312405543382922972342253522062082663011953773434703638407114282723700308183227545142001782252061811901721792012622693112512703372138300443192212199186878235192205197201189206182212271370338474247271209255220271271170230335215258229199196242244205207218209294167186201195203311202243206363259356364335377343470
2020430,0.41215806399191074,2262472423382823013553543212293441015215253899256302265270229255457222252198218668204227198244246243236184221166184187189219241269215189200198185197216210453240214196319107229896034537722421723924822921821722529224121028722051777549762951057514346560381460512714597687766752357455331594101516026357511310363221248035795124824151512692415745578450609651328329323591320348239293315270250101222921925023967230127633813987375594133044162262472423383001471783471661493041511681551591591571451981681721992781812071723211841961691571821531491853821521511802111631611661691832211801682321541711712051961981821801951882402232654172723463677743024882174733431190918933755521257327332128493543322282652622754982212462461942752865681191246220329219365209195306222189237226284192186195181220187447204334213238219192254183206195178633193181189182249218182184205179165201180207217207160216160237170172205170163206300147178347166224336244379252327437461
2020501,0.4384679627852643,4156584104266111768407463906107119401350687871970716994
2020502,0.5442187888681591,8416303218137652957690590578460613718331013
2020503,0.20080854904079978,46033995759827119168507805798097311143278669154710808421112574
2020504,0.4073541328731666,67452968098192092173441114794394014398249488734081427526319784127979733686167312067951081109081386737849665447247256256246667452968098191734
2020505,0.3160470355081839,67515669218147605458583785187251475610591229806646505154856619072679106311547751308769861588701660
2020506,0.4295784058318323,299495400685455486320326301418709270291334512255492519354463266296394305988275528279549291702540878875048646363832879451474948834131842336330126829530326225535326923724428328326925425948524823726840429836028631731025635624051747222153829351638427275415124966029140644221601875727999325413418393506902412004816921196485180820833186575814366328439642468154253380237113434894478914023838684621217299495400685324358329469623483476462659709407502882
2020507,0.49790434517562815,531309302360285100481717434294261385363178747245631048134523227925422532557853686627729221334274237371346218300250296255304281253254258237227281232283241420334241306491250278252241108831425032426637422491258466123725426124926524826048523628569502633392532542692222212526492452102523624292793563291661966426430754114758242733043733130327930324025234026929837840321528631526019734532324123423030756430032122928125829522746624124728526523624223322124322921021531831436136729130325726232926825336648134523227925465240427699304303488627291451543422
2020508,0.44164328294815747,108835060541745223353058254346043127949390513520281383496962275297281318697312426390434563108835060541745223353058254346043127949390513520281383496962275297281318697312426390434563152130729245262668619623225228423224523022726120820320121921221424121720721725122623525023623021421924324926826422223120425125926330229033928529139435876834603152614972945330529923519317225827221626521223525531120621228222554323523133225925260649036821422024623824548323028427321735622621422623232020543024219728720047030021939930121821420628841334455783182643273993002752682492711982499686196232252284
2020509,0.4812005962527579,5861268186591811506627545694049247225773735733735642067496540571935446934252945027320862454015537781181540239980697442239358612681865918115066275456940492472257737357337356420674965405719354469342529450273208624540155377811815402399806974422393
2020510,0.5540421836432451,641468555155836253710461735571125655252154179799084846062787561452518428245810184801055630482641468555
2020511,0.42242572828467273,35525869078305655497296516435224107442733403332403133652622284214623352654952802904293133132663323662692372692823622574142292351240161934533962933575334752350744572596702813023834492744693172814224065447533263451504727523728123222850232332242325932735445873951150641178510966906395715836564706841326155764216511095733170840141043414117114845296778559803691353154789158801439556109844993552586907830565651251271248233349213206269285250220188286225231218217207222282842192199373332314353255498338259255285263234360253720995891508163434527033465
2020512,0.43132506552482935,7714144403675823967334361372310375445883552148215403774991168499662350373929248019621334944373042657023272453036042259818621820031625130920925528355334135120321526227622325121632130623922520515532581998622642572232282781988742252112342251833382282272072092102292151912671963651702632752242783181882002932141833492152612382482212052902283452572032072342252915903294018332609417847812463102774702942694256084702372493187066234221268325287296240300310318232416231261363260407288334282284435358657627326340973736663772446473032932831892322242122752602132122813174452072653182881862182003162513092862272122322522232372473082412042355467143504662201842396234268
