ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj,score,Read_count
002594.SZ,20150813,61.97,64.2,61.0,63.84,61.99,1.85,2.98,131594.82,828197.5227,61.61,63.295,57.55366667,1.325901103,-0.22369751300000001,1.549598615,71.2213954,80.08480238,53.49458144,0.44215635600000003,416066
002594.SZ,20150814,63.6,66.35,63.6,63.75,63.84,-0.09,-0.14,134380.02,872372.4608,61.61,63.295,57.55366667,1.422605275,0.105563045,1.31704223,64.58470236,72.06424514,49.62561681,0.385048393,18451
002594.SZ,20150817,62.7,65.23,62.1,64.2,63.75,0.45,0.71,109520.22,699740.8458,61.61,63.295,57.55366667,1.5180560630000002,0.388061649,1.129994414,64.10465825,66.63691867,59.04013742,0.335193071,248219
002594.SZ,20150818,64.18,64.18,57.78,57.78,64.2,-6.42,-10.0,171937.62,1039710.137,61.61,63.295,57.55366667,1.063402907,0.5231299,0.540273007,43.59013666,57.42649909,15.91741179,0.250154652,22475
002594.SZ,20150819,56.0,59.6,52.2,58.48,57.78,0.7,1.21,166604.95,926777.1501,61.61,63.295,57.55366667,0.750915074,0.568686935,0.18222813899999998,35.06051453,47.58510315,10.01133731,0.539709115,344504
002594.SZ,20150820,57.0,57.4,54.0,54.4,58.48,-4.08,-6.98,111732.74,624928.4958,46.746,47.879,52.846000000000004,0.172060902,0.489361728,-0.317300827,19.01120322,32.55395147,-8.074293276,0.267543478,42932
002594.SZ,20150821,53.0,54.04,49.56,49.8,54.4,-4.6,-8.46,166083.06,852199.7728,46.746,47.879,52.846000000000004,-0.650369699,0.261415443,-0.911785142,17.67742714,23.91638163,5.199518159,0.20572867600000003,189798
002594.SZ,20150824,47.3,47.3,44.82,44.82,49.8,-4.98,-10.0,161167.87,734111.8083,46.746,47.879,52.846000000000004,-1.684577496,-0.127783145,-1.556794351,4.8976143610000005,13.86208157,-13.03132007,0.328179349,74327
002594.SZ,20150825,40.8,45.99,40.34,40.34,44.82,-4.48,-10.0,200305.02,840397.0687,46.746,47.879,52.846000000000004,-2.833035712,-0.6688336579999999,-2.164202054,0.420609884,7.665217129,-14.0686046,0.34432604899999997,248593
002594.SZ,20150826,41.6,44.37,39.85,44.37,40.34,4.03,9.99,247529.48,1059971.182,46.746,47.879,52.846000000000004,-3.3790581239999997,-1.210878552,-2.168179573,5.685534591000001,3.667919612,9.720764549,0.28034112899999997,148067
002594.SZ,20150827,45.99,48.81,45.99,48.81,44.37,4.44,10.01,209849.09,997453.7899,49.012,47.879,52.846000000000004,-3.4141576419999997,-1.65153437,-1.7626232730000002,17.45333076,7.853158411,36.65367545,0.461099879,238916
002594.SZ,20150828,50.5,52.25,47.84,51.01,48.81,2.2,4.51,230969.69,1149489.554,49.012,47.879,52.846000000000004,-3.22725091,-1.9666776780000002,-1.260573232,32.74309648,18.62732061,60.97464822,0.384870874,185134
