ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj
002594.SZ,20150918,54,56.8,53.47,55.18,52.85,2.33,4.41,184409.1,1019277.412,50.98,51.544,52.846,-0.962949676,-1.740802297,0.777852621,70.20865212,50.46884356,109.6882692
002594.SZ,20150921,54.5,56.75,53.23,56.07,55.18,0.89,1.61,150531.06,831851.5861,57.328,59.115,52.846,-0.534885938,-1.499619025,0.964733087,81.3483696,66.41919578,111.2067172
002594.SZ,20150922,56.05,56.66,54.51,55.24,56.07,-0.83,-1.48,111336.38,617916.7961,57.328,59.115,52.846,-0.259623626,-1.251619945,0.991996319,87.65782828,79.73828333,103.4969182
002594.SZ,20150923,54.6,60.76,54.2,59.01,55.24,3.77,6.82,234872.83,1382839.702,57.328,59.115,52.846,0.259737144,-0.949348527,1.209085671,88.75401745,85.92007178,94.42190879
002594.SZ,20150924,59.5,59.75,56.88,57.8,59.01,-1.21,-2.05,160829.67,933405.3376,57.328,59.115,52.846,0.567159546,-0.646046913,1.213206459,84.2630854,86.89164371,79.00596878
002594.SZ,20150925,57.67,60.18,56.28,58.52,57.8,0.72,1.25,176073.97,1034477.549,57.328,59.115,52.846,0.858990094,-0.345039511,1.204029605,84.04499541,85.68736609,80.76025406
002594.SZ,20150928,59.2,62.6,58.85,61.8,58.52,3.28,5.6,175365.07,1067749.846,60.902,59.115,52.846,1.339495622,-0.008132485,1.347628107,86.31838331,84.87548804,89.20417385
002594.SZ,20150929,60.45,62.5,59.55,61.08,61.8,-0.72,-1.17,130593.53,793899.2622,60.902,59.115,52.846,1.643259263,0.322145865,1.321113398,88.04186988,86.13508287,91.85544391
002594.SZ,20150930,63.05,64,59.5,60.01,61.08,-1.07,-1.75,153533.78,948363.0467,60.902,59.115,52.846,1.777167992,0.61315029,1.164017702,80.83508438,85.06511252,72.37502808
002594.SZ,20151008,63.13,64.8,60.6,60.68,60.01,0.67,1.12,245787.96,1535450.726,60.902,59.115,52.846,1.915276906,0.873575613,1.041701292,70.70936551,79.86210659,52.40388336
002594.SZ,20151009,60.7,62.18,59.25,60.94,60.68,0.26,0.43,149604.16,907526.4673,60.902,59.115,52.846,2.022396118,1.103339714,0.919056404,63.64273914,71.72906301,47.4700914
002594.SZ,20151012,61.1,63.99,58.5,59.46,60.94,-1.48,-2.43,433964.93,2661699.272,59.904,61.628,66.08466667,1.9652115,1.275714071,0.689497428,59.19940423,64.51716963,48.56387343
