ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,MACD,slowj,score,Read_count
002594.SZ,20150813,61.97,64.2,61,63.84,61.99,1.85,2.98,131594.82,828197.5227,61.61,1.325901103,53.49458144,0.442156356,416066
002594.SZ,20150814,63.6,66.35,63.6,63.75,63.84,-0.09,-0.14,134380.02,872372.4608,61.61,1.422605275,49.62561681,0.385048393,18451
002594.SZ,20150817,62.7,65.23,62.1,64.2,63.75,0.45,0.71,109520.22,699740.8458,61.61,1.518056063,59.04013742,0.335193071,248219
002594.SZ,20150818,64.18,64.18,57.78,57.78,64.2,-6.42,-10,171937.62,1039710.137,61.61,1.063402907,15.91741179,0.250154652,22475
002594.SZ,20150819,56,59.6,52.2,58.48,57.78,0.7,1.21,166604.95,926777.1501,61.61,0.750915074,10.01133731,0.539709115,344504
002594.SZ,20150820,57,57.4,54,54.4,58.48,-4.08,-6.98,111732.74,624928.4958,46.746,0.172060902,-8.074293276,0.267543478,42932
002594.SZ,20150821,53,54.04,49.56,49.8,54.4,-4.6,-8.46,166083.06,852199.7728,46.746,-0.650369699,5.199518159,0.205728676,189798
002594.SZ,20150824,47.3,47.3,44.82,44.82,49.8,-4.98,-10,161167.87,734111.8083,46.746,-1.684577496,-13.03132007,0.328179349,74327
002594.SZ,20150825,40.8,45.99,40.34,40.34,44.82,-4.48,-10,200305.02,840397.0687,46.746,-2.833035712,-14.0686046,0.344326049,248593
002594.SZ,20150826,41.6,44.37,39.85,44.37,40.34,4.03,9.99,247529.48,1059971.182,46.746,-3.379058124,9.720764549,0.280341129,148067
002594.SZ,20150827,45.99,48.81,45.99,48.81,44.37,4.44,10.01,209849.09,997453.7899,49.012,-3.414157642,36.65367545,0.461099879,238916
002594.SZ,20150828,50.5,52.25,47.84,51.01,48.81,2.2,4.51,230969.69,1149489.554,49.012,-3.22725091,60.97464822,0.384870874,185134
002594.SZ,20150831,50.87,52.78,49,49.85,51.01,-1.16,-2.27,178550.32,906500.0049,49.012,-3.136571836,69.05117955,0.448139142,19672
002594.SZ,20150901,49,49.65,45.32,49.59,49.85,-0.26,-0.52,196694.5,948461.1384,49.012,-3.050523309,67.10396838,0.384215403,366355
002594.SZ,20150902,47.2,51.5,45.76,45.8,49.59,-3.79,-7.64,135880.24,657789.0227,49.012,-3.250678757,52.09157855,0.324143122,110983
002594.SZ,20150907,47.8,50.05,47.01,47.69,45.8,1.89,4.13,128832.63,624449.4987,52.108,-3.2196817,56.25771794,0.284075825,144009
002594.SZ,20150908,48.4,51.96,47.26,51.8,47.69,4.11,8.62,148378.95,739834.4457,52.108,-2.830841479,83.62763293,0.519718217,271981
002594.SZ,20150909,52.58,56,52.17,55.5,51.8,3.7,7.14,221248.01,1208202.791,52.108,-2.198777585,115.9570512,0.415288745,67448
002594.SZ,20150910,53.8,54.99,52.4,52.7,55.5,-2.8,-5.05,134767.08,724323.4014,52.108,-1.90187536,102.1212844,0.399936046,160961
002594.SZ,20150911,52.53,53.99,51.68,52.85,52.7,0.15,0.28,93250.96,492777.4315,52.108,-1.635620051,70.97841578,0.216439929,44985
002594.SZ,20150914,52.85,54.13,47.61,47.85,52.85,-5,-9.46,133426.59,672308.5755,50.98,-1.807236319,17.02198641,0.286301456,29806
002594.SZ,20150915,46.7,49.4,46.24,47.15,47.85,-0.7,-1.46,97655.8,465990.8972,50.98,-1.976938679,-2.256241875,0.453382036,136469
002594.SZ,20150916,48.02,51.87,47.31,51.87,47.15,4.72,10.01,135238.34,671951.2248,50.98,-1.710842936,17.13251502,0.410167013,8373
002594.SZ,20150917,53,56.21,52.61,52.85,51.87,0.98,1.89,241314.43,1317726.179,50.98,-1.404689941,64.22986941,0.458460013,147808
002594.SZ,20150918,54,56.8,53.47,55.18,52.85,2.33,4.41,184409.1,1019277.412,50.98,-0.962949676,109.6882692,0.449520985,160003
002594.SZ,20150921,54.5,56.75,53.23,56.07,55.18,0.89,1.61,150531.06,831851.5861,57.328,-0.534885938,111.2067172,0.222658385,55201
002594.SZ,20150922,56.05,56.66,54.51,55.24,56.07,-0.83,-1.48,111336.38,617916.7961,57.328,-0.259623626,103.4969182,0.301061099,38238
002594.SZ,20150923,54.6,60.76,54.2,59.01,55.24,3.77,6.82,234872.83,1382839.702,57.328,0.259737144,94.42190879,0.313590232,121924
002594.SZ,20150924,59.5,59.75,56.88,57.8,59.01,-1.21,-2.05,160829.67,933405.3376,57.328,0.567159546,79.00596878,0.53715846,20929
002594.SZ,20150925,57.67,60.18,56.28,58.52,57.8,0.72,1.25,176073.97,1034477.549,57.328,0.858990094,80.76025406,0.394948757,113407
002594.SZ,20150928,59.2,62.6,58.85,61.8,58.52,3.28,5.6,175365.07,1067749.846,60.902,1.339495622,89.20417385,0.463452987,11967
002594.SZ,20150929,60.45,62.5,59.55,61.08,61.8,-0.72,-1.17,130593.53,793899.2622,60.902,1.643259263,91.85544391,0.47004974,100179
002594.SZ,20150930,63.05,64,59.5,60.01,61.08,-1.07,-1.75,153533.78,948363.0467,60.902,1.777167992,72.37502808,0.445339772,54898
002594.SZ,20151008,63.13,64.8,60.6,60.68,60.01,0.67,1.12,245787.96,1535450.726,60.902,1.915276906,52.40388336,0.536008683,131317
002594.SZ,20151009,60.7,62.18,59.25,60.94,60.68,0.26,0.43,149604.16,907526.4673,60.902,2.022396118,47.4700914,0.488269366,261426
002594.SZ,20151012,61.1,63.99,58.5,59.46,60.94,-1.48,-2.43,433964.93,2661699.272,59.904,1.9652115,48.56387343,0.313960036,267356
002594.SZ,20151013,58.99,60.5,58.16,60.46,59.46,1,1.68,199954.56,1191402.037,59.904,1.977785243,44.31413334,0.36928134,353271
002594.SZ,20151014,60.45,60.46,58.35,58.65,60.46,-1.81,-2.99,170178.91,1006418.482,59.904,1.820710139,22.86338278,0.441251261,251302
002594.SZ,20151015,58.3,60.64,58.2,60.35,58.65,1.7,2.9,170151.65,1019440.393,59.904,1.812509301,21.27563581,0.514351009,299361
002594.SZ,20151016,60.9,62.51,59.81,60.6,60.35,0.25,0.41,200108.47,1219171.036,59.904,1.805371786,23.34442711,0.424251679,79296
002594.SZ,20151019,61.5,66.66,61.37,66.66,60.6,6.06,10,323398.46,2074792.553,63.352,2.262624482,85.92122795,0.570927827,347162
002594.SZ,20151020,68.88,68.97,64.51,66.22,66.66,-0.44,-0.66,327913.04,2168912.504,63.352,2.559986287,104.9559549,0.448835378,268510
002594.SZ,20151021,65.51,65.95,59.6,59.75,66.22,-6.47,-9.77,338379.39,2113130.267,63.352,2.247663071,62.53459722,0.558736315,374713
