shijian,score,Read_count
2013312,0.47581188773444877,1595202013911036748621
2013313,0.4029001527183873,1679122513651367130753878411168177447671387
2013314,0.47243963155408597,75759970214279651288613
2013315,0.12608032931490737,43510351386545
2013316,0.33503466184723674,11787594161484123898197713531223904
2013317,0.37435190011554753,97591038101766214534891160
2013318,0.2639858102434928,581586554533616703
2013319,0.31226165864670585,8678897908939655726956086784599417
2013320,0.5517089583732975,73918588107991007
2013321,0.3984366521884397,15338529511150888612
2013322,0.37049165969899667,6206466011183931803
2013323,0.21103717234721917,1489106190675056811304521882860649651
2013324,0.9449,773
2013325,0.2811,546
2013326,0.32725588012777407,1784107696511509997175867831017178410769651150999717586783101710979232497559562
2013327,0.18377396841066143,1128105913167751299717737768623598111011281059131677512997177377686235981110
2013328,0.25327763142350856,761828657912778775626718150378989213191173675610636803770904801761828657912778775626718150378989213191173675610636803770904801
2013329,0.3737647860172214,1395107279869475851156715066482573588515659568684115986713951072798694758511567150664825735885156595686841159867
2013330,0.2317924698795181,1037720579440992554440992554
2013331,0.2485712987012987,821719
2013401,0.0573,1004
2013402,0.5547369634340222,10737781015908
2013404,0.7240355893536122,718597
2013405,0.46644676553672315,53583712561286667111070114594689946376524923704406051651
2013406,0.3925766161723917,7924368505384409915665344463833534773302238
2013407,0.09434084457683546,3333874701799
2013408,0.32664970693461215,167314321719183863955483817057937841162
2013409,0.19406527644102234,12214334808475415005417661255130911061509888134476669711112086146915921334149612528498719911463958964677414763393479473401492636644687706
2013416,0.48163040097205345,11108518161338
2013417,0.3698947144240078,114782189810679918318743069632
2013418,0.4259942900711623,676106411246535507571078
2013419,0.3501914341846758,6011233711
2013420,0.34510361545832,1205868986791707665687608928937722131011701629998644800
2013421,0.27513326580226904,1742158018451352998738727890
2013422,0.407550323257033,117022015001085767
2013423,0.30818629876308284,453598
2013424,0.3561477213495809,700105313464984781115114396049045661848
2013425,0.2321977445339471,8557101253772774531524576692697685747698590167911444453
2013426,0.2893170911322492,1069197489416326011165163111341883137013225316821792668692514
2013427,0.1739376537016729,111274984673413467198317741023528676237497872615921005124971310701101594914105055070787783760073874176110793843951083938777554659145561868876836241322
2013428,0.32193414425427874,13389571660166613608742667759229215331254
2013429,0.4382979820147736,1642184117221583316854652558703
2013501,0.2034765486725664,8701451617
2013502,0.24137665132588207,1227199811169892871448245281712251312196314361064276461185711621009196813831552794102610227341487807964131466885911444587
2013503,0.35342657101976094,133399713291382919821917728249682277013498331049816724579677833532696132296417581213
2013504,0.2960661008115554,15991262114182659393311595115803
2013505,0.4110736035748484,90110121220
2013506,0.47143743670739074,768696219121700140123455070769600
2013507,0.48612880199206865,128786258447718505937629263434632696
2013508,0.5338951917939949,12191041911513111693283210901041664
2013509,0.5388008322824717,9381124861569473
2013510,0.3823991372899003,128495670513875291326536
2013511,0.5265311237252261,10668886757808954223683504529465802
2013512,0.3885438906294503,9231011814763
2013513,0.5837653357189942,11279381098147499545519671787778
