ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj,score,Read_count
002770.SZ,20201125,1.93,1.98,1.92,1.94,2.01,-0.07,-3.4826,329186.1,64166.061,2,2.057,1.986666667,0.054716145,0.065956945,-0.0112408,14.08220132,28.02159526,-13.79658656,0.284618559,36709
002770.SZ,20201126,1.93,2.01,1.9,1.97,1.94,0.03,1.5464,246932.9,48327.183,2,2.057,1.986666667,0.04708191,0.062181938,-0.015100029,11.0290404,17.50892546,-1.930729711,0.374506558,21577
002770.SZ,20201127,1.97,2.03,1.96,2.02,1.97,0.05,2.5381,235749.48,47159.472,2,1.978,1.986666667,0.044552729,0.058656096,-0.014103368,22.01388889,15.70837687,34.62491292,0.271257804,36364
002770.SZ,20201130,2.01,2.04,1.99,2,2.02,-0.02,-0.9901,142781.28,28687.904,2,1.978,1.986666667,0.040468012,0.055018479,-0.014550468,32.61217949,21.88503626,54.06646594,0.410537848,13060
002770.SZ,20201201,2.01,2.04,1.99,2.01,2,0.01,0.5,107800.1,21736.165,2,1.978,1.986666667,0.037604282,0.05153564,-0.013931358,43.65384615,32.75997151,65.44159544,0.306001393,19671
002770.SZ,20201202,2.01,2.03,1.96,1.99,2.01,-0.02,-0.995,171114.33,34010.247,2,1.978,1.986666667,0.033336638,0.047895839,-0.014559201,46.94331984,41.06978183,58.69039586,0.295258605,25300
002770.SZ,20201203,1.99,1.99,1.96,1.98,1.99,-0.01,-0.5025,101467.57,20051.102,2,1.978,1.986666667,0.028815417,0.044079755,-0.015264338,48.15789474,46.25168691,51.97031039,0.301279088,17067
002770.SZ,20201204,1.98,2.03,1.96,2.01,1.98,0.03,1.5152,157001.2,31312.965,1.956,1.978,1.986666667,0.027337932,0.04073139,-0.013393459,54.26900585,49.79007347,63.2268706,0.320594646,15446
002770.SZ,20201207,2,2.01,1.97,1.98,2.01,-0.03,-1.4925,120557,23970.49,1.956,1.978,1.986666667,0.023475652,0.037280243,-0.013804591,57.52715121,53.31801727,65.9454191,0.348993879,26859
002770.SZ,20201208,1.97,1.98,1.95,1.96,1.98,-0.02,-1.0101,108030.7,21202.993,1.956,1.978,1.986666667,0.018586679,0.03354153,-0.014954851,57.77777778,56.52464495,60.28404344,0.373965844,27023
002770.SZ,20201209,1.96,1.96,1.91,1.91,1.96,-0.05,-2.551,146461.88,28288.711,1.956,1.978,1.986666667,0.010555869,0.028944398,-0.018388529,33.33333333,49.54608744,0.907825118,0.185104021,22605
002770.SZ,20201210,1.92,1.94,1.88,1.92,1.91,0.01,0.5236,110278.23,21081.84,1.956,1.978,1.986666667,0.00494135,0.024143788,-0.019202439,22.61904762,37.91005291,-7.962962963,0.311664131,13120
