,close£¨Y£©,change(X2),pct_chg(x3),vol(X4),MACD(X5),slowj(X6),score(X7),read(X8)
count,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0,1281.0
mean,59.994293520686966,0.09182669789227169,0.1230329430132709,0.2873585768930523,0.573133565058548,48.88173706462295,0.5098641527626855,0.30206682405386415
std,21.83360430308698,2.0589736379608934,2.808313439986852,1.0003905487300493,2.6563633646385294,35.67543013981204,0.12549847477488205,1.0003905487764455
min,37.29,-18.23,-10.0,-0.706206742,-4.201044038,-33.26302565,0.0983,-0.492014674
25%,49.6,-0.68,-1.22,-0.367855307,-0.742513159,17.94924888,0.42627333100000003,-0.18738712300000002
50%,55.15,0.02,0.03,-0.036837222,-0.030916445,50.01193134,0.510945238,0.063568855
75%,61.48,0.72,1.2770000000000001,0.550842519,1.002530477,78.62940039,0.589494152,0.375042847
max,190.95,16.8,10.01,5.830950836,18.90698992,140.905874,1.0537,15.55582252
