trade_date,close£¨Y£©,change(X2),pct_chg(x3),vol(X4),MACD(X5),slowj(X6),score(X7),read(X8)
20150925,58.52,0.72,1.25,0.605844826,0.858990094,80.76025406,0.464948757,-0.260574136
20150928,61.8,3.28,5.6,0.599980165,1.339495622,89.20417385,0.533452987,-0.469133581
20150929,61.08,-0.72,-1.17,0.229589602,1.643259263,91.85544391,0.54004974,-0.287770748
20150930,60.01,-1.07,-1.75,0.419372042,1.777167992,72.37502808,0.515339772,-0.380867951
20151008,60.68,0.67,1.12,1.182581834,1.915276906,52.40388336,0.606008683,-0.223751387
20151009,60.94,0.26,0.43,0.386862681,2.022396118,47.4700914,0.558269366,0.043751185
20151012,59.46,-1.48,-2.43,2.739351468,1.9652115,48.56387343,0.383960036,0.055943195
20151013,60.46,1,1.68,0.803406607,1.977785243,44.31413334,0.43928134,0.232583423
20151014,58.65,-1.81,-2.99,0.557075572,1.820710139,22.86338278,0.511251261,0.02293636
20151015,60.35,1.7,2.9,0.556850053,1.812509301,21.27563581,0.584351009,0.121745098
20151016,60.6,0.25,0.41,0.804679889,1.805371786,23.34442711,0.494251679,-0.33070595
20151019,66.66,6.06,10,1.824645896,2.262624482,85.92122795,0.640927827,0.220023391
20151020,66.22,-0.44,-0.66,1.861994574,2.559986287,104.9559549,0.518835378,0.058315805
20151021,59.75,-6.47,-9.77,1.948581662,2.247663071,62.53459722,0.628736315,0.276667922
20151022,61.44,1.69,2.83,1.681597244,2.112165815,6.271509101,0.537878252,0.213053591
20151023,62.69,1.25,2.03,1.645162474,2.081651831,2.487837051,0.31878643,-0.054052175
20151026,68.96,6.27,10,4.389742474,2.534193275,90.30989824,0.616034644,0.745457909
20151027,68.35,-0.61,-0.88,1.591985087,2.811207874,124.3343441,0.474074909,0.020002465
20151028,68.81,0.46,0.67,1.7117025,3.032900703,119.4467909,0.525409421,-0.067950655
20151029,68.89,0.08,0.12,0.706689433,3.178410462,82.91652843,0.495800335,0.404628517
20151030,67.1,-1.79,-2.6,0.664387024,3.113400609,59.70988734,0.410667231,-0.118244239
20151102,63.66,-3.44,-5.13,0.948896178,2.752570661,41.22981859,0.403670402,-0.021454482
20151103,65.49,1.83,2.87,0.806533019,2.584483714,36.19636767,0.342023336,-0.36491965
20151104,69.9,4.41,6.73,1.703852261,2.775133727,61.2954239,0.528495633,-0.049726376
20151105,67.3,-2.6,-3.72,1.359653705,2.685470533,71.22871784,0.403695731,0.075074165
20151106,67.75,0.45,0.67,1.228691846,2.620515374,67.13401334,0.366707943,0.083228215
20151109,71.6,3.85,5.68,2.0679124,2.846883665,67.89385822,0.296876176,0.285804734
20151110,69.8,-1.8,-2.51,1.305953719,2.848204876,79.57086846,0.389482151,0.03369329
20151111,68.8,-1,-1.43,1.34375327,2.737009758,76.86068622,0.470482473,0.119584254
20151112,70.6,1.8,2.62,1.816018169,2.762289825,65.25485049,0.501743726,0.065824274
20151113,70.7,0.1,0.14,2.478316757,2.758594267,64.6635032,0.47415852,0.137742742
20151116,69.49,-1.21,-1.71,0.765151715,2.627737699,56.05256748,0.310752128,-0.077728935
20151117,67.88,-1.61,-2.32,1.652155062,2.366835969,12.09461356,0.503227879,0.133178448
20151118,66.18,-1.7,-2.5,0.703342382,1.999840757,-18.6278914,0.485902993,0.078795504
20151119,68.4,2.22,3.35,0.599849288,1.866612705,-2.637351612,0.4600005,0.272465482
20151120,66.6,-1.8,-2.63,0.550842519,1.597370069,11.25580654,0.385154895,0.096318692
20151123,64.9,-1.7,-2.55,0.569095768,1.2326088,12.51567731,0.424368489,0.07220195
20151124,64.51,-0.39,-0.6,0.698404618,0.901669245,0.69635358,0.456317015,0.056590831
20151125,65.12,0.61,0.95,0.448813977,0.680771653,10.85381007,0.510725769,0.318562794
20151126,63.73,-1.39,-2.13,0.442653064,0.389062467,20.32900475,0.263084361,0.057721625
20151127,60.3,-3.43,-5.38,0.815462211,-0.117536611,8.174218135,0.434482033,0.03124872
20151130,62.68,2.38,3.95,0.830124358,-0.323247721,26.39516423,0.483220855,-0.134143196
20151201,61.95,-0.73,-1.16,-0.098753937,-0.538967278,42.46118995,0.483526356,-0.353036038
20151202,63.12,1.17,1.89,0.147705741,-0.608502916,67.75758838,0.464950747,-0.133629199
20151203,63.29,0.17,0.27,0.108657975,-0.642486645,64.39986383,0.40896691,-0.037489134
20151204,61.82,-1.47,-2.32,0.051595881,-0.779055246,60.33264438,0.511310831,-0.080105658
20151207,62.06,0.24,0.39,-0.064225905,-0.858030016,55.76693138,0.437328407,-0.028259803
20151208,60.3,-1.76,-2.84,0.012665425,-1.050525577,28.97207677,0.412512521,0.018295995
20151209,62.88,2.58,4.28,0.892686442,-0.983557419,56.29447329,0.577224805,-0.249669174
20151210,62.42,-0.46,-0.73,0.232898432,-0.956576015,73.87606409,0.502957783,0.217529477
20151211,61.59,-0.83,-1.33,-0.024604165,-0.990746413,77.39324386,0.336659478,0.235268544
20151214,62,0.41,0.67,-0.174443297,-0.973520982,53.07437739,0.385462524,0.103923792
20151215,62.56,0.56,0.9,-0.003291018,-0.904258653,49.55739466,0.579130404,-0.358648886
20151216,62.9,0.34,0.54,-0.213459461,-0.812565847,78.20308347,0.372423302,-0.072601301
20151217,63.8,0.9,1.43,0.363546334,-0.659671873,97.71349862,0.389364403,-0.13867665
20151218,63.79,-0.01,-0.02,0.303379834,-0.533163239,98.92102847,0.377413975,0.486674783
20151221,63.02,-0.77,-1.21,0.677524806,-0.489395354,79.28383319,0.404018495,0.361502108
20151222,62.82,-0.2,-0.32,0.011177626,-0.465481538,50.64801966,0.241748951,-0.316501128
20151223,62.03,-0.79,-1.26,-0.054918394,-0.504460952,20.02036132,0.409040234,0.082866361
20151224,63.47,1.44,2.32,0.899649495,-0.414379742,41.44961911,0.387092587,0.015812361
20151225,63.45,-0.02,-0.03,-0.01618963,-0.34067646,50.46646469,0.40354397,0.21349974
20151228,62.14,-1.31,-2.06,0.193070034,-0.383550795,27.1240324,0.456891807,0.099221747
