trade_date,close,change,30MA,MACD,slowj,score,n_vol,n_amount,Go
20170329,48.8,-1.1,49.832,-0.150050081,37.13263826,0.572635135,-0.061313119,-0.110842702,1
20170330,47.82,-0.98,50.18533333,-0.274707479,1.588205615,0.336252174,-0.268792528,-0.28073701,1
20170331,48.02,0.2,50.18533333,-0.353288546,-26.11102774,0.464195,-0.519998902,-0.470004635,0
20170405,49.4,1.38,50.18533333,-0.300743359,37.21204263,0.429243478,-0.174328752,-0.192103139,0
20170406,49.48,0.08,50.18533333,-0.249766436,89.89929903,0.526413793,-0.458720255,-0.410423929,0
20170407,49.6,0.12,50.18533333,-0.197408261,112.2351924,0.501192857,-0.548333337,-0.479046335,0
20170410,49.65,0.05,50.18533333,-0.150148627,91.78555988,0.608667742,-0.550152189,-0.480683346,0
20170411,53.01,3.36,50.18533333,0.156623434,82.90288386,0.39027619,1.970785509,1.637110686,0
20170412,52.98,-0.03,50.18533333,0.392793871,81.72166979,0.51382,0.279566221,0.232782493,1
20170413,52.45,-0.53,50.18533333,0.531072203,74.23522442,0.504646667,-0.368926256,-0.30989393,1
20170414,51.35,-1.1,50.18533333,0.545608535,54.9490119,0.367544444,-0.258289618,-0.226129099,1
20170417,51.38,0.03,50.18533333,0.5531728,37.73544726,0.603395,-0.517277073,-0.441887452,0
20170418,51.6,0.22,50.18533333,0.570345113,32.50006567,0.64199375,-0.272022333,-0.234615309,0
20170419,51.26,-0.34,50.18533333,0.550177038,32.66087713,0.573804348,-0.260840433,-0.236281224,1
20170420,51.95,0.69,50.18533333,0.58314875,44.50053581,0.343081818,-0.374623384,-0.327701176,0
20170421,51.97,0.02,50.18533333,0.60393116,46.20462941,0.413731579,-0.281603265,-0.240306244,0
20170424,50.84,-1.13,50.18533333,0.523188819,27.81105409,0.50663125,-0.373124218,-0.322675727,1
20170425,51.18,0.34,50.18533333,0.481089391,17.34827466,0.444715385,-0.550114762,-0.468638794,0
20170426,52.52,1.34,50.18533333,0.549517596,54.83950864,0.5416,-0.007060097,-0.012773121,0
20170427,52.09,-0.43,50.18533333,0.562565134,90.8142367,0.449653846,-0.364472635,-0.311230468,1
20170428,51.88,-0.21,50.18533333,0.549624428,92.41859239,0.449961905,-0.335693449,-0.290257429,1
20170502,49.7,-2.18,50.18533333,0.359319039,14.38431718,0.3760125,0.209070435,0.122596609,1
20170503,48.8,-0.9,50.18533333,0.134329699,-21.13507639,0.194211111,-0.252661702,-0.257895365,1
20170504,48.71,-0.09,50.18533333,-0.05065431,-32.62602898,0.468569231,-0.611053684,-0.533367949,1
20170505,48.34,-0.37,50.18533333,-0.224523214,-10.10483938,0.358426667,-0.677583902,-0.586477383,1
20170508,48.79,0.45,50.18533333,-0.322289185,6.24873161,0.357790323,-0.647484856,-0.561622443,0
20170509,49,0.21,50.18533333,-0.378461507,14.61986612,0.471875862,-0.763653942,-0.650735041,0
20170510,48,-1,50.18533333,-0.49793029,10.54330562,0.545532258,-0.5992422,-0.525340709,1
20170511,47.83,-0.17,50.18533333,-0.599418022,16.39482814,0.428126316,-0.334164688,-0.337655033,1
20170512,48.03,0.2,50.18533333,-0.656145812,26.37143991,0.511284211,-0.704520513,-0.610332593,0
20170515,47.93,-0.1,50.18533333,-0.701090425,55.51322943,0.344147826,-0.830502579,-0.70406568,1
20170516,48.65,0.72,50.08933333,-0.670877908,85.74793457,0.52626129,-0.691332164,-0.599741287,0
20170517,48.86,0.21,50.08933333,-0.622809664,99.31014851,0.391808333,-0.560797439,-0.492644714,0
20170518,48.37,-0.49,50.08933333,-0.617140132,88.61469679,0.594428,-0.810880187,-0.687693597,1
20170519,48.55,0.18,50.08933333,-0.591306281,66.63709796,0.567992683,-0.780506137,-0.665175411,0
20170522,48.39,-0.16,50.08933333,-0.577091083,53.27588588,0.480142308,-0.765054184,-0.653532923,1
20170523,48.79,0.4,50.08933333,-0.527468452,70.09694258,0.460121739,-0.525888119,-0.473277609,0
20170524,48.8,0.01,50.08933333,-0.481781565,68.79194631,0.552055556,-0.670550331,-0.580441771,0
20170525,48.75,-0.05,50.08933333,-0.444485211,66.78562551,0.426521875,-0.660426761,-0.573404669,1
20170526,49.11,0.36,50.08933333,-0.381481113,70.62000639,0.58,-0.580864352,-0.509342285,0
20170531,49.85,0.74,50.08933333,-0.268740227,92.62664051,0.407818182,-0.407503337,-0.36979075,0
20170601,49.33,-0.52,50.08933333,-0.218829387,92.64785473,0.462628125,-0.60457208,-0.523764595,1
20170602,49.44,0.11,50.08933333,-0.168456742,81.4234396,0.458365625,-0.758486093,-0.645199995,0
20170605,50.2,0.76,50.08933333,-0.066444478,84.49692685,0.3002,-0.463448649,-0.409949597,0
20170606,50,-0.2,50.08933333,-0.001717554,97.65779889,0.418615152,-0.73911003,-0.626199009,1
20170607,50.5,0.5,50.08933333,0.088900036,108.9971143,0.516494737,-0.515671038,-0.447603532,0
20170608,50.5,0,50.08933333,0.158883618,96.77153013,0.4073125,-0.733169682,-0.619576,1
20170609,50.24,-0.26,50.08933333,0.19116268,80.44264081,0.432416667,-0.604090477,-0.518954588,1
20170612,50.5,0.26,50.08933333,0.235014791,72.96740505,0.3324,-0.413616426,-0.36807438,0
20170613,51.82,1.32,50.08933333,0.371992773,69.45114306,0.533242105,-0.076792941,-0.081069272,0
20170614,51.6,-0.22,50.08933333,0.457522613,72.97978677,0.577481818,-0.000789237,-0.007976187,1
20170615,51.7,0.1,50.08933333,0.527296446,64.57913931,0.476863333,-0.594722132,-0.501279995,0
20170616,51.05,-0.65,50.08933333,0.524101627,38.81556916,0.612023913,-0.460404139,-0.39343946,1
20170619,51.23,0.18,50.08933333,0.52998487,34.77454331,0.521663636,-0.631317063,-0.53338695,0
20170620,50.58,-0.65,50.08933333,0.476702682,18.37353161,0.398007692,-0.474074091,-0.407918208,1
20170621,50.95,0.37,50.08933333,0.459040539,28.81448653,0.47565,-0.42989535,-0.375639132,0
20170622,50.77,-0.18,50.08933333,0.425612472,26.56205911,0.393365854,-0.41306849,-0.360484052,1
20170623,50.6,-0.17,50.08933333,0.381010853,21.9628354,0.432931818,-0.520246729,-0.450694214,1
20170626,51.52,0.92,50.08933333,0.415114874,36.55228133,0.654119231,-0.271442267,-0.242950881,0
20170627,51.47,-0.05,50.08933333,0.433115291,62.71463197,0.485907407,-0.516569639,-0.438051851,1
20170628,50.56,-0.91,50.08933333,0.369689802,55.98737084,0.327833333,-0.50766689,-0.438475191,1
20170629,50.31,-0.25,49.659,0.295841458,14.59417917,0.531438095,-0.575078896,-0.494173484,1
20170630,49.95,-0.36,49.659,0.205893708,-15.21088862,0.419271429,-0.398711603,-0.361239641,1
20170703,50.03,0.08,49.659,0.139457223,5.657670615,0.595325,-0.754570851,-0.638332897,0
20170704,50.5,0.47,49.659,0.123309467,41.19635611,0.56817,-0.479864615,-0.416365556,0
20170705,51.18,0.68,49.659,0.16349787,72.39888516,0.636017241,-0.450931689,-0.389662084,0
20170706,50.85,-0.33,49.659,0.166796501,79.96430165,0.408954545,-0.386686149,-0.338270492,1
20170707,50.67,-0.18,49.659,0.153121108,66.97902722,0.501461538,-0.670397167,-0.568617745,1
