,阅读量,回复量,新闻,日期
98,8559,67,尾盘177.97竞价，30万，全部梭哈了比亚迪，特斯拉暴涨，而比亚迪走势，目前有,12-09 09:21
99,1143,36,上升趋势的票，可以买吗，会不会买在山顶,12-09 09:19
100,592,25,加油，冲高,12-09 09:19
101,889,31,不要涨停，明天再大涨5个点以上,12-09 09:19
102,844,31,200见,12-09 09:19
103,772,33,今天150,12-09 09:19
104,1085,34,强势，牛逼。,12-09 09:19
105,539,5,比亚迪值得长期持有反复被割，直到你被割得完全钢化成为一棵钢化了的韭菜就跟我一样，,12-09 09:17
106,216,1,12月9日沪深两市重要公告集锦,12-09 09:17
107,6395,0,强势龙头价值股！又有接连不断的利好,12-09 09:16
108,286,0,上证现价3410点，短线涨幅过大，最高3465点后下跌，本轮调整的大盘大姨妈周期,12-09 09:15
109,594,0,橡胶：2021年涅磐重生，未来可期,12-09 09:15
110,194,0,与特斯拉，比亚迪就是垃圾！！,12-09 09:15
111,143,0,比亚迪目前的股价折合30美元左右，有希望涨到300元,12-09 09:14
112,1881,8,虽然只有2手，获益20个点今天卖在了最高点跌下来又接了2手哈哈哈，我是股神吗？谢,12-09 09:13
113,7527,79,呵呵，多看看仁东控股，找找相似之处。比亚迪现在价格是仁东最高时的三倍，净资产20,12-09 09:10
114,572,6,王军志院士：疫苗未来一至两周将有大消息年内将有6亿支灭活疫苗上市,12-09 09:10
115,529,8,增发价大概是130到140！,12-09 09:08
116,398,1,大家早上好，昨天有一则消息引起了我的注意，“高盛将收购中国合资企业100％的股权,12-09 09:07
117,360,2,快跑啊，今天大跌，庄家都跑了。机构拉高出货了，这个票要跌到120了,12-09 09:06
118,5376,15,观察一下这货和长安，一个大涨，一个必跌，这两家应该是一个庄在玩，高抛低吸，来回收,12-09 08:59
119,1469,16,程序化交易出货，接盘者如同温水中“抱着幻想的青蛙”！,12-09 08:56
120,1252,39,解疑答惑,12-09 08:55
121,1115,0,11月同比增近130%！新能源乘用车销售火爆！【热点早参】,12-09 08:54
122,1589,3,海口市千辆比亚迪纯电动出租汽车顺利交付 12-8,12-09 08:53
123,4126,3,特斯拉突然增发，盘前急速跳水，低开后稳步回升，再度新高。#中国新能源车三小只再起,12-09 08:50
124,413,5,还不走的应该就是一些臭烘烘的傻韭和赌徒吧，呵呵。,12-09 08:48
125,608,0,历史科技都是前进的。燃油车取代马车创造历史，推动人类社会进步。智能电动车替代燃油,12-09 08:47
126,837,0,智慧生产力升级“新兵”华为闯入台式机战场,12-09 08:47
127,276,0,外媒这几天高度关注深圳裹动智驾科技有限公司(AutoX Inc),12-09 08:45
128,2613,11,一个多月了，我继续持有比亚迪和斯达半导，手上多了一个持有了超过半个月的力源液压。,12-09 08:42
129,232,0,昨晚特斯拉继续上攻，比亚迪能不能跟一波?,12-09 08:38
130,849,0,为台式机增智 华为能否讲好商用PC的新故事,12-09 08:27
131,17391,56,完了，比亚迪、东风、吉利等车企被工信部点名因产品不符合标准。会有几个跌停板？山科,12-09 08:24
132,346,0,比亚迪盘前回顾(12-08),12-09 08:23
133,11360,35,12月9日美国新能源汽车股价齐涨 全球新能源车企进入增发潮！12-9,12-09 09:15
134,168,3,今日开始，屏蔽游击大队长！！！,12-09 09:07
135,284,1,比亚迪的神气劲：爱国之笔画真迹，汉唐雄风忆往昔。莫言美景藏哪里，马良再世显神气。,12-09 08:28
136,6279,16,"各位网络大虾好，本人一名超级迪粉，现决定改掉我的“BYD一万亿""这网名，这与是否",12-09 08:16
137,3465,2,大佬入股、股价翻番，智能汽车产业链要大火？,12-09 08:15
