shijian,score,Read_count
20160426,0.629951742,275385
20160427,0.464536418,281384
20160428,0.56658355,41093
20160429,0.401656355,365726
20160430,0.689733518,197860
20160501,0.402542303,100293
20160502,0.48848002,138850
20160503,0.525614371,526711
20160504,0.41973512,139250
20160505,0.61962631,128079
20160506,0.398586446,271065
20160509,0.384810558,118142
20160510,0.463272539,216612
20160511,0.411859056,130043
20160512,0.371662003,87537
20160513,0.64736241,303594
20160514,0.547302497,190515
20160515,0.236973298,55446
20160516,0.392869783,63335
20160517,0.508113838,262954
20160518,0.459723365,246849
20160519,0.626390965,82764
20160520,0.560301,563218
20160521,0.314305267,80906
20160522,0.9512,7125
20160524,0.444567854,248243
20160525,0.343117591,485026
20160526,0.415121781,42965
20160527,0.391647118,257909
20160528,0.29838819,220974
20160529,0.469899751,318926
20160530,0.509300062,20922
20160531,0.434084549,92862
20160601,0.282423732,359348
20160602,0.338666626,23689
20160603,0.428915021,174289
20160604,0.408219568,152270
20160605,0.347918798,223413
20160606,0.576562653,85289
20160607,0.378042948,323119
20160608,0.288891638,288361
20160612,0.587440625,124446
20160613,0.309654487,359276
20160614,0.811621894,25021
20160615,0.533145632,276137
20160616,0.333017642,175170
20160617,0.580344316,40218
20160618,0.443064912,67558
20160619,0.665279047,195362
20160620,0.352109199,331746
20160622,0.460390531,409302
20160623,0.355186639,55549
20160624,0.421995745,106229
20160625,0.288082399,191296
20160626,0.461600687,250796
20160627,0.658118702,259502
20160628,0.3128,35526
20160629,0.279864568,532767
20160630,0.374567086,260522
20160701,0.576945223,17699
20160702,0.205964193,146697
20160703,0.404445324,145259
20160704,0.346393294,703706
20160705,0.267590034,337624
20160706,0.466488728,1077848
20160707,0.513033911,1425663
20160708,0.447485165,869426
20160709,0.505228465,336048
20160710,0.447165879,915587
20160711,0.355576831,1706953
20160712,0.427689613,1770013
20160713,0.335243538,614863
20160714,0.295434544,1479124
20160715,0.455061173,726660
20160716,0.311339281,1583108
20160717,0.341125466,383332
20160718,0.213422326,1078608
20160719,0.4201151,1237638
20160720,0.577045407,356735
20160721,0.374669594,1520136
20160722,0.392200818,1303006
20160723,0.450203141,930302
20160724,0.349063579,1830136
20160725,0.51041885,850491
20160726,0.206548746,1229140
20160727,0.720233023,160906
20160728,0.356273331,762955
20160729,0.275916603,581566
20160731,0.472911229,141192
20160801,0.487253654,835689
20160802,0.38775627,528852
20160803,0.172844152,122574
20160804,0.496612742,365181
20160805,0.281496059,1103725
20160806,0.703124538,118483
20160808,0.252489406,379144
20160809,0.337515972,842712
20160810,0.250754026,250468
20160812,0.260301765,1315817
20160813,0.532040713,841328
20160814,0.2776817,544292
20160815,0.254920531,204673
20160816,0.28298348,365129
20160817,0.324731815,960692
20160818,0.610089258,1295228
20160819,0.563756035,883476
20160820,0.543047308,1283902
20160821,0.270713733,685352
20160822,0.586457568,987179
20160823,0.438156037,1184076
20160824,0.261285266,882210
20160825,0.412330432,1331651
20160827,0.531799582,898374
20160828,0.502405443,1846164
20160829,0.314591189,727830
20160830,0.209815143,1546294
20160831,0.177034294,201842
20160901,0.309482425,1552284
20160902,0.246196194,204421
20160903,0.299431302,301678
20160904,0.668441008,5915782
20160906,0.460260128,824054
20160907,0.340686488,1386223
20160908,0.478053647,4483
20160909,0.320724356,2990282
20160910,0.159186495,1039536
20160911,0.344391315,354114
20160912,0.268772191,259927
20160913,0.334188801,888993
20160914,0.2395792,1415615
20160917,0.362041798,151774
20160918,0.41835512,1539913
20160919,0.440945238,1560694
20160920,0.356676421,397211
20160923,0.359343603,753366
20160924,0.116729012,130690
20160925,0.517712055,537586
20160926,0.326015136,632052
20160928,0.426712323,364056
20160929,0.388753837,866451
20160930,0.399047821,235613
20161005,0.616799459,209858
20161006,0.548613556,88949
20161007,0.508290811,1578552
20161008,0.157991382,492468
20161009,0.261969695,576302
20161010,0.236474008,1138641
20161011,0.381339626,469002
20161012,0.227492549,1566239
20161013,0.22913217,1898959
20161015,0.535870647,83222
20161016,0.320506115,183587
20161017,0.559491321,7806251
20161018,0.275403901,863313
20161019,0.443397979,1030912
20161021,0.678521344,4315434
20161022,0.266264368,437770
20161023,0.248269106,394258
20161024,0.600582081,710094
20161025,0.509023765,838146
20161026,0.457621363,728177
20161028,0.332174309,453404
20161029,0.08827307,192212
20161030,0.177862479,720900
20161031,0.399555946,852836
20161101,0.295702876,478368
20161102,0.416445267,775542
20161103,0.239838969,730393
20161104,0.349855467,429334
20161106,0.299523279,63688
20161107,0.355733275,1360642
20161108,0.472813425,219821
20161109,0.523385255,2198460
20161110,0.563856519,463923
20161111,0.40284922,1532467
20161114,0.384457896,1159714
20161115,0.38436533,51898
20161117,0.383605006,1277197
20161118,0.320827421,1178100
20161121,0.33472649,574984
20161122,0.641423864,1467846
20161123,0.636345896,5246163
20161124,0.312334733,532314
20161125,0.359639885,1541306
20161126,0.28248208,101481
20161127,0.600097731,489365
20161128,0.447485902,484348
20161129,0.382038485,446687
20161130,0.690981786,194092
20161201,0.296344488,374755
20161202,0.61419316,57555
20161203,0.439115008,144269
20161204,0.699489271,159996
20161205,0.294492525,208679
20161206,0.27771149,192087
20161207,0.158934372,395651
20161208,0.22152868,402010
20161209,0.586367107,420444
20161210,0.50751133,638608
20161211,0.363900133,13495
20161212,0.455627138,786660
20161213,0.257913458,51592
20161214,0.174722125,297813
