,阅读量,回复量,新闻,日期
101,83,0,回调五日线,12-11 12:29
102,202,2,到50,12-11 12:25
103,92,0,好像主力在吸筹码准备下周高开,12-11 12:23
104,108,0,看下股东数,12-11 12:21
105,76,0,目前比外面股一些安全多了，酱香型科技[赞][赞][赞],12-11 12:18
106,179,3,明显是大盘影响个股，唱空的人你们都是啥心态？,12-11 12:17
107,134,1,同时间买的你和立昂微，立昂微16个点了你才8个,12-11 12:16
108,274,5,卖的等着拍大腿[大笑][大笑],12-11 12:15
109,586,6,迎驾贡酒,12-11 12:15
110,83,0,酱香白酒涨价了,12-11 12:14
111,76,0,还是喝酒暖和，外面太冷！,12-11 12:13
112,237,3,买完了，你想怎么涨跌，跟我没关系了,12-11 12:03
113,91,0,开始冲刺！,12-11 12:02
114,86,0,唯有白酒可以超越牛熊[呲牙][呲牙][呲牙],12-11 12:01
115,72,0,硬起来呀,12-11 11:59
116,87,0,26见,12-11 11:59
117,103,1,今天该你做大哥,12-11 11:59
118,362,3,坚挺[赞][赞][赞][赞][赞],12-11 11:58
119,83,0,老子以后就买白酒，,12-11 11:58
120,582,5,老白干长上影，不大理想啊,12-11 11:55
121,253,3,变态啊变态[呲牙][呲牙][呲牙][呲牙][想一下][想一下][想一下],12-11 11:54
122,497,9,对不起应为我买了所以主力开始砸了,12-11 11:54
123,228,3,吸引你们买，然后好出货。,12-11 11:54
124,719,1,眼花缭乱，众说纷纭我这个人不会炒股，选股票就看国家政策和时段，春节时段就买点酒的,12-11 11:54
125,240,2,准备抄底吗节奏,12-11 11:54
126,109,1,着什么急，今天肯定收盘红色,12-11 11:53
127,95,0,反复折腾夯实基础好酒不怕巷子深武陵酒老白干文王贡酒,12-11 11:53
128,112,1,太高了，快跑,12-11 11:52
129,134,1,唉，又被套[旺柴],12-11 11:51
130,136,1,有出必有入，怕什么？,12-11 11:50
131,88,0,散户太强大了,12-11 11:50
132,141,2,上车的请坐好扶好,12-11 11:49
133,121,1,老白干，老是白干[大笑],12-11 11:48
134,77,0,杀,12-11 11:47
135,112,0,忍不住23.6追了进来,12-11 11:44
136,283,3,主力往死压盘,12-11 11:44
