,阅读量,回复量,新闻,日期
715,1293,3,年少不知白酒香，错把科技加满仓；年少不知白酒好，错把医药当成宝。年少不知白酒醉，,12-10 12:56
716,336,6,买的22.95，卖的23.02。还真的不够手续费。[大笑][大笑][大笑],12-10 12:54
717,327,2,喝酒行情老白干酒可以买点，彩虹股份做t,12-10 12:54
718,126,1,只能看看，不敢买,12-10 12:53
719,116,0,明天全部都给我活埋,12-10 12:53
720,121,0,关闭弹幕提升智商,12-10 12:52
721,123,0,卖早了，后悔了三天,12-10 12:51
722,163,1,板块通红，这不到涨停也差不多，就这么急着走…,12-10 12:50
723,124,0,今天主力这种打法，短期快到头了，长期看好,12-10 12:49
724,142,1,酒鬼成堆？,12-10 12:48
725,114,0,迟早上30，等[旺柴]，老乡酒确实不赖,12-10 12:48
726,121,0,这里越多人说下午跳水，越说开始套人，它就越不会跌，越涨越猛，因为这是散户的通病,12-10 12:47
727,110,0,昨天追高23.65买的,12-10 12:47
728,1744,33,23.26买的[哭]，明天还能持有吗，还能涨吗[哭],12-10 12:45
729,154,0,白酒龙老白干，金徽，老白干是这轮龙头。看看能不能带金徽突破双头,12-10 12:43
730,129,0,看走眼了,12-10 12:42
731,1036,0,截止中午收盘，在煤炭钢铁的带动下，大盘探底回升，和预判一致，大盘在3350附近有,12-10 12:41
732,347,3,这盘 控的可以,12-10 12:40
733,113,0,我也买几手干掉白酒,12-10 12:40
734,121,0,不涨停不走！,12-10 12:40
735,121,0,跌一个点的时候没买进去,12-10 12:39
736,100,0,现在这么高难买下，,12-10 12:39
737,181,0,国泰君安和中信证券都认为明年经济形势大好，特别是白酒行业，在春节和元旦假日期间是,12-10 12:37
738,127,0,白酒板块高位了，这两天要高度回调了，注意吃到肉就赶快走别贪心把赚的再吐回去,12-10 12:37
739,106,0,3天涨了15个点，可惜只买了1手底仓…,12-10 12:36
740,130,0,冲破新高上三十,12-10 12:35
741,206,1,真香[鼓掌],12-10 12:35
742,123,0,看一个个开心的跟耗子一样，不过尾汁毒素很大会倒下一片[大笑]白酒开始好喝酒精上来,12-10 12:35
743,120,0,兄弟们，我止盈走了。感觉短线不稳，不喜勿喷，谢谢。出货需要好人气,12-10 12:34
744,115,0,他们喝茅台，我们喝老白[大笑],12-10 12:33
745,774,0,卖了就涨，为什么？告诉你答案,12-10 12:33
746,104,0,拿了四天卖早了。,12-10 12:32
747,157,1,下午开盘封板,12-10 12:31
748,116,0,下午封巨量涨停没有任何悬念,12-10 12:30
749,127,0,周5及下周5个交易日连续6个涨停板并非没有可能,12-10 12:30
750,146,0,冲啊,12-10 12:30
751,115,0,月线才刚开始，怕毛啊，梭哈就是干，不到45不要卖,12-10 12:29
752,109,0,有没有不服的？哈哈哈,12-10 12:28
753,102,0,喝接着喝,12-10 12:28
754,288,3,从泸州老窖换过来，看来是换对了。,12-10 12:28
755,116,0,白酒 可以穿越牛熊，年底不喝酒 都不叫过年了。。冲鸭,12-10 12:28
756,104,0,衡水老白干，蓝瓶的，今年过年喝酒老白干,12-10 12:28
757,743,0,客官，我这有热干面 炸酱面 担担面 汤面，油泼面，三鲜面，辣子面等等各种面，请问,12-10 12:27
758,119,0,千万不要追高买股票，你错过了又何妨，有钱，有钱有方法，还愁挣不到钱,12-10 12:27
759,97,0,各位大神对于这周的星期五怎么看,12-10 12:26
760,124,0,30以下别停留太久要不跟风太多,12-10 12:26
761,102,0,哎，昨天22.55进了2000，今早22.88卖掉了，难受,12-10 12:26
762,99,0,那个幺蛾子呢？还有个什么请拖鞋呢？不敢说话了？真！,12-10 12:25
763,101,0,那个说要下破5日线20.59的2b出来走几步……,12-10 12:25
764,231,3,昨天卖在21.87今天买在22.76我真是个小天才,12-10 12:24
765,92,0,我昨天亏3点卖你，你为啥要负我,12-10 12:23
766,91,0,我昨天亏3点卖你，你为啥要负我,12-10 12:23
767,93,0,多与少?,12-10 12:23
768,183,0,稳了，不枉我盯了一上午的票。市场的核心就是郑煤，但是郑煤上午一直不上不下，就让人,12-10 12:23
769,89,0,白酒凉了,12-10 12:23
770,113,0,还不进去碗都没得舔了……下周破30没有任何悬念了！！！,12-10 12:22
771,194,1,24,12-10 12:21
772,277,3,主力流入和流出差距不大，明后天应该会拉大差距。下周一开始暴跌,12-10 12:21
773,106,0,爽.！喝酒行情就是舒服.！,12-10 12:21
774,111,0,老哥们，我咋看不到人气龙头了，是哪里设置出问题了么，任何股都看不到了，求告知,12-10 12:20
775,103,0,一卖就飞了,12-10 12:20
776,268,2,牛笔,12-10 12:19
777,106,0,等你下来那！不知有没有机会了,12-10 12:18
778,89,0,哎卖早了[傲]还好只卖了半仓,12-10 12:18
779,172,0,天天喝酒,12-10 12:17
780,107,0,白酒在任何时候买入都是对的，在任何时候卖出都是错的[想一下],12-10 12:17
781,109,0,下午涨停有没有？今天大盘还是得绿，必须喝酒壮胆，加油 奥利给,12-10 12:17
782,98,0,白酒永远的神,12-10 12:16
783,108,0,险种入市，牛来了,12-10 12:16
784,734,5,白酒真牛，连着拉了三天，老白干又创了新高。搞的金融连着砸了三天，还是白酒牛啊！能,12-10 12:15
785,32666,28,白酒向上银行向下蕴含何种玄机？（12.08）,12-10 12:15
786,106,0,酒香不醉人，衡水老白干！,12-10 12:15
787,112,0,哈哈哈哈哈卖飞的一群人，主力能玩死人,12-10 12:14
788,89,0,香啊,12-10 12:14
789,93,0,能有啥利润，蠢猪瞎炒,12-10 12:13
790,105,0,这波全靠白酒了，白酒到头了咋办啊？怕怕怕,12-10 12:13
791,96,0,真的是想哭,12-10 12:13
792,413,2,21.5补仓没买到，大腿拍紫了转手买了伊利特。因为伊利特是新疆酒，我有朋友在新疆,12-10 12:13
793,91,0,能冲吗？,12-10 12:12
794,89,0,全部卖出,12-10 12:12
795,81,0,牛鞭,12-10 12:12
796,526,5,高端白酒年老体衰，正是老白干乘风破浪之时,12-10 12:12
797,105,0,万亿茅台千亿武陵！,12-10 12:12
798,97,0,醉生梦死,12-10 12:12
799,94,0,30元见！,12-10 12:12
800,98,0,冲了24,12-10 12:11
801,93,0,白酒的春天来了,12-10 12:11
802,135,1,押宝武陵酒，18大名酒，春节喝茅台！,12-10 12:11
803,107,0,完美反包！,12-10 12:10
804,104,0,不敢买，瑟瑟发抖，价位太高了,12-10 12:09
805,103,0,下来啊！我还没上车啦,12-10 12:09
806,91,0,老白干后者居上,12-10 12:09
807,102,0,昨天挂了24卖不出今天继续挂24,12-10 12:09
808,106,0,喝完酒准备吃药了[大笑],12-10 12:09
809,95,0,只能一声长叹,12-10 12:08
810,99,0,今天大涨了，那些专家脸还好吗？,12-10 12:08
811,88,0,白酒是真的猛！,12-10 12:08
812,86,0,打脸，诶,12-10 12:08
813,125,0,到年底白酒绝对是大牛，犹是这种还没被炒起来的低价股！！！,12-10 12:05
814,102,0,我从立昂微过来，100卖了，现在107了，后悔死了,12-10 12:05
815,92,0,刚买，不要跌,12-10 12:04
816,96,0,昨天买早了，今天卖早了,12-10 12:03
817,103,0,今天要不要涨停呢[大笑],12-10 12:03
818,586,11,23.3满仓追是不是有点飘了[微笑][微笑][微笑],12-10 12:03
819,86,0,买一万股,12-10 12:03
820,991,1,年少不知白酒香，错把科技加满仓。年少不知白酒好，错把医药当成宝。年少不知白酒醉，,12-10 12:02
821,4351,22,本以为今天会振荡收在23之上，特别14：30受到天猫茅台的消息被带了一波节奏，如,12-10 12:02
822,239,2,加油鸭[色][得意],12-10 11:59
823,98,0,冲过23.35，让大家知道你才是老大！！！加油！！！老白干！！！！,12-10 11:59
824,104,0,酒干倘卖无,12-10 11:59
825,113,0,老乡，别走，还有一波,12-10 11:58
826,104,0,接着喝酒接着嗨！,12-10 11:56
827,189,1,白元俱乐部今年加入了酒鬼酒大将，马上是舍得，明年后年是谁，拭目以待？,12-10 11:55
828,126,0,冲啊，这么好的牌子，得有做龙头的觉悟,12-10 11:54
829,119,0,老白干像不像以前那广告脑白金,12-10 11:53
830,130,0,哈哈，牛逼，加仓了,12-10 11:51
831,123,0,早盘看了，还是追高了别的，烦死,12-10 11:50
832,129,0,走了，没前途,12-10 11:49
833,144,0,真龙不出谁敢涨停,12-10 11:48
834,112,0,伯特利三季度净利润3个亿，盘子又小，做零部件真的是不受资本关注,12-10 11:47
835,153,2,明天涨3个点就走人,12-10 11:47
836,123,0,白酒还是少个涨停的龙头。,12-10 11:46
837,110,0,又要套一波了,12-10 11:45
838,128,0,那么多大单压在上面，真的好难,12-10 11:42
839,232,1,如果今天不突破前高23.65，就要小心了，这个价位，需要减仓观望。,12-10 11:42
840,228,1,我没买老白干，但感觉老白干人气比其他白酒要高些！,12-10 11:42
841,219,0,很快涨到40块,12-10 11:40
842,151,0,今年打造三大酱酒之一武陵酒十七大名酒，酱酒之魁！！！,12-10 11:39
843,277,1,成交量最大的白酒是老白干,12-10 11:39
844,154,1,赶紧跑跌停,12-10 11:39
845,222,2,冲啊！兄弟们！,12-10 11:37
846,160,0,上车了不然没机会了下午涨停板,12-10 11:32
847,184,1,青青好猛啊,12-10 11:28
848,219,0,创新高,12-10 11:27
849,175,0,今天可能冲高回落，但短期厚报,12-10 11:27
850,140,0,一起喝酒，一起嗨起来！！！,12-10 11:25
851,222,0,衡水老白干，是男人就买衡水老白干！！,12-10 11:25
852,174,0,今天涨停白酒行情好，老白干是必争之地，明牌的东西,12-10 11:25
853,184,0,唉,12-10 11:24
854,228,0,老白干，主力资金，运筹帷幄还在逐步增加筹码，目标远大啊，我不明说了,12-10 11:23
855,157,0,雄起,12-10 11:22
856,166,0,买啊,12-10 11:22
857,209,2,我获利了结了你可以跌停让散狗自嗨吧哈哈,12-10 11:21
858,234,0,老白干真正的民族品牌白酒低价股，看看五粮液300左右了，洋河，200了,12-10 11:21
859,141,0,什么时候涨停什么时候走！,12-10 11:20
860,150,0,不管你怎么洗？这一波看到30,12-10 11:20
861,131,0,射手男,12-10 11:19
862,153,0,跳水,12-10 11:18
863,135,0,坚决不卖，今天大盘还是玩球,12-10 11:10
864,131,0,不要计较一时的得失，长期看涨这只股,12-10 11:10
865,145,0,虽然你涨的慢，但我觉得你是个好股,12-10 11:07
866,136,0,就不信外来资金能忍得住,12-10 11:06
867,163,0,看不懂呀。出完了，留了100股。这个短期要奔30呀,12-10 11:03
868,130,0,白酒真的套不住人,12-10 11:03
869,199,1,还是舍得好啊,12-10 11:03
870,131,0,天禾股份2999，翻番大暴涨来了,12-10 11:01
871,192,2,买入承德露露低开黑马,12-10 10:57
872,141,0,这个股我只买到了中间两个字，白干[大哭],12-10 10:57
873,14111,7,年少不知白酒好？持续看好高端酒品牌！,12-10 10:57
874,1817,40,今天别想涨太多，甚至涨停，站上23就行！,12-10 10:56
875,142,0,大盘狂拉也是假,12-10 10:55
876,122,0,快下来，挂18进,12-10 10:55
877,119,0,问天下谁主沉浮唯我衡水老白干儿,12-10 10:55
878,296,5,9块放自选愣是一次没敢进,12-10 10:52
879,134,0,前两天21.8卖了白干，今天23.3又接回来了，又接到高位了,12-10 10:52
880,291,5,你下来呀[微笑],12-10 10:51
881,278,3,拉高出货了,12-10 10:50
882,321,3,快点跑！真心话，在不跑的都得死，真心话。。落袋为安今天我一哥们电话营业部直接打了,12-10 10:50
883,283,5,早上金徽酒和你二选一，搞笑不搞笑，脑子混混沌沌选了你。[滴汗][滴汗][滴汗],12-10 10:48
884,179,1,白干赶紧涨，龙头风范别让别人抢了,12-10 10:46
885,100,0,冲啊,12-10 10:44
886,345,2,会反复测试23.65新高。过程会艰难。,12-10 10:41
887,139,1,赶快卖，因为你卖了就涨停！,12-10 10:38
888,347,2,高位十字星，你就说，能挣钱么，欢迎讨论！,12-10 10:38
889,135,0,老白干，你是龙头股，给力点,12-10 10:38
890,138,0,当年泸州老窖股价也是23现在189，你高攀得起吗,12-10 10:38
891,109,0,年底了疯狂囤酒吗[为什么][为什么][为什么],12-10 10:38
892,115,0,卖掉了，马上暴跌了,12-10 10:38
893,349,2,个人观点：没有最高，只有更高，珍惜每一次震仓机会，望不到顶,12-10 10:38
894,108,0,明天跌停,12-10 10:38
895,127,0,炒股一年，头一回做t，非常成功的t飞了，买中水还一顿赔,12-10 10:37
896,100,0,再来一次疯狂,12-10 10:36
897,668,9,23.65能解套吗,12-10 10:36
898,110,0,今天跌停注意风险,12-10 10:36
899,111,0,今晚要买支老白干醉一醉,12-10 10:36
900,115,0,糟了大盘红了白酒又要绿了,12-10 10:35
901,107,0,最后10手交给兄弟们了，往后余生各自安好[鼓掌],12-10 10:35
902,139,0,就是一个板城烧锅都要比青青稞酒强，简直是耻辱,12-10 10:35
903,122,0,你看看人家青青，尴尬哇,12-10 10:34
904,106,0,年前27，应该不是梦了,12-10 10:34
905,119,0,虽然我已经出了，还是恭喜他，更上一层楼,12-10 10:33
906,115,0,我大A只能天天喝酒了，无他,12-10 10:33
907,120,0,是出货还是多空博弈？元芳，你怎么看？,12-10 10:32
908,156,0,大家继续持有就行、百元老白干、以后20元老白、再也看不到了、就单品武陵、你们品一,12-10 10:32
909,117,0,这是疯了吗？,12-10 10:32
910,114,0,偃旗息鼓了[色][得意],12-10 10:31
911,100,0,飞吧！！！！空狗们都滚了,12-10 10:30
912,120,0,全仓，是一种信仰,12-10 10:29
913,170,0,被套了好多次，发现白酒才是唯一真神，就算被套，也套不了多久，小幅回调，再创新高,12-10 10:29
914,114,0,今天当大哥,12-10 10:28
915,114,0,五天线支撑,12-10 10:28
916,107,0,白哥永远是你白哥,12-10 10:28
917,221,1,估计到头了,12-10 10:28
918,125,0,冲冲冲，今年过年目标45,12-10 10:28
919,137,0,这老白干心脏病是不能看的，上下受不了[呲牙],12-10 10:25
920,173,1,幸好早上换青青酒了，都涨停了你这,12-10 10:24
921,120,0,比想象中强,12-10 10:22
922,95,0,想啥呢，拉高出货那么明显,12-10 10:22
923,662,2,千年底蕴酒文化，科技创新太快不务实，世人瞩目还是饮酒，李白诗人许世友将军，激情挥,12-10 10:22
924,139,0,杠杆全卸了。今天再也不买这鸟了,12-10 10:21
925,148,1,冲啊,12-10 10:20
926,117,0,，被洗出来了,12-10 10:20
927,118,0,被动买点老白干！玩玩吧,12-10 10:20
928,260,4,速度跌停,12-10 10:18
929,102,0,这货出的真爽！配资的倍查，这票也有,12-10 10:18
930,130,0,英雄本色可好？,12-10 10:18
931,152,0,价值连城的老白干，上涨强势确认，今天有加仓吗。我加了6手。,12-10 10:17
932,233,2,早上大跌要加仓，你加了吗21.63,12-10 10:16
933,118,0,起飞起飞，起飞,12-10 10:16
934,141,0,坚持就是胜利 涨涨涨。张国茅台只是时间问题。,12-10 10:16
935,112,0,旱的旱，涝的涝,12-10 10:16
936,223,2,散户就要买老白干，茅台是有钱人玩的去抬个毛轿,12-10 10:15
937,299,4,今天会涨停么,12-10 10:15
938,121,0,gang卖掉就大涨,12-10 10:15
939,181,1,拉高出货,12-10 10:14
940,144,0,3个月前拿着老婆本买30w的兄弟，你现在怎么样啦？,12-10 10:14
941,128,0,  赚的钱 全部买老白干,12-10 10:14
942,97,0,cao,12-10 10:13
943,157,1,青青酒开拉,12-10 10:13
944,146,0,青青稞酒今天涨停就21了，老白干5大名酒傍身情何以堪,12-10 10:11
945,155,1,博弈激烈,12-10 10:11
946,190,0,衡水老白干，板城烧锅酒，武陵三大酱酒之一！今天拿回龙,12-10 10:11
947,157,0,冲冲冲,12-10 10:08
948,154,0,今日怎么比不过伊利特，看来是我倒霉,12-10 10:05
949,126,0,今天拿回龙头,12-10 10:05
950,139,0,赶紧上车,12-10 10:04
951,125,0,垃圾！,12-10 10:04
952,120,0,青青稞酒红了,12-10 10:04
953,127,0,快跑吧，下午跌停,12-10 10:03
954,136,0,今天青青做龙头了,12-10 10:02
955,274,2,下午拉涨停,12-10 10:00
956,154,0,我看好你,12-10 09:59
957,160,0,就连青青稞酒马上就要超越老白干了，主力还玩什么啊,12-10 09:56
958,175,0,晕，被洗出来了,12-10 09:53
959,142,0,呵，前几天吹的太厉害了，今天正常了,12-10 09:51
960,376,2,24.81,12-10 10:27
961,168,1,喜欢喝白酒,12-10 09:59
962,170,2,买了，只要拼一下双十二,12-10 09:53
963,152,1,茅台年前冲击2000，带领白酒板块，登上新高度……,12-10 09:53
964,171,0,21.77加仓了只要跌就加仓,12-10 09:39
965,174,0,中国白酒时代渐行渐近,12-10 09:35
966,193,0,这的吓跑多少人啊,12-10 09:30
967,234,2,唉！,12-10 09:30
968,3659,7,本以为老白干这次可以突破30元，结果最近仁东控股出事，加上交易异常公告，游资今天,12-10 09:29
969,196,0,低开低走的一天,12-10 09:27
970,202,0,今天跌停,12-10 09:26
971,189,0,这,12-10 09:24
972,2264,4,白酒之风吹来，让你赚的有点醉了,12-10 09:19
973,186,0,保险就酒，越玩越有！干了,12-10 09:17
974,3524,3,老白干酒：酿酒；公司自15年完成混改之后，并购目前也已经完成，无论从经营层面还是,12-10 09:14
975,370,2,不服命不行。同样的股别人买赚钱，我nnd的一买就拉稀。我已经老白今天最高点。兄弟,12-10 09:14
976,249,1,今天要大跌了吧,12-10 09:14
977,191,0,大豪在这一波会很远,12-10 09:13
978,177,0,我等你发家致富,12-10 09:13
979,162,0,老白，冲啊,12-10 09:12
980,183,0,小赚就跑下次再回来,12-10 09:12
981,963,8,这股还真是良心股，下午居然还给机会逃跑了，当然还得感谢青青稞酒，这时候是清仓而不,12-10 09:11
982,381,4,开盘买入老白干机会难得呀,12-10 09:11
983,636,8,我已经在京东武陵酒旗舰店预订了武陵酒，双十二付款哈哈哈,12-10 09:06
984,220,0,白酒春节红红火火,12-10 09:05
985,550,2,炒股炒得是心态，长期持股的前提是安全边际。有了足够的安全边际，任何时候卖出都是不,12-10 09:01
986,1637,1,在高点震荡一天，是准备向上还是向下？,12-10 09:00
987,311,2,美股大跌今天白酒怎么样,12-10 08:58
988,570,2,周线级三浪三主升大浪开启！,12-10 08:57
989,1021,11,老白干和青青棵酒，我选了老白干，结果，青青棵大张，老白干跌了！国盛和国联之间，我,12-10 08:52
990,644,8,23买的刚买你就跌,12-10 08:46
991,293,1,下周能到25吗？,12-10 08:44
992,284,0,名酒20来块钱一股，呵呵还折腾啥劲，其他酒股都70--100-200一股,12-10 08:41
993,238,1,一个个看跌，明天庄拉起，气死你们,12-10 08:38
994,207,0,水哥的买酒粉。酒哥带你们000812抽烟去了,12-10 08:23
995,481,0,老白干酒盘前回顾(12-09),12-10 08:21
996,298,0,特大新闻002553南方轴承2020年每股业绩2元左右，常州黑庄正在砸盘建仓 0,12-10 08:20
997,1237,3,啊哈哈哈哈，老白干酒让我割在地板，可惜可惜，怪我太贪，年内上27估计没问题，上次,12-10 08:19
998,246,2,A钴老白干虽然是金牌老字号，但没有业绩凭什么上涨？总想进入一类酒业恐怕难难难！大,12-10 08:15
999,309,0,老白干旗下酱酒武陵/利好茅台就利好老白！,12-10 08:10
1000,359,5,这就是一个定时炸弹,12-10 07:56
1001,5769,24,"“喝老白干不上头”营销定位,远不如广告词：“老白干酒：荣获1915年万国博览会甲",12-10 07:45
1002,291,0,小散兄弟们不要折腾了，来白酒板块吧，只有白酒板块才是不败的神话，只有白酒才是只涨,12-10 07:42
1003,255,0,老白干酒是河北名酒。河北是人口大省消费群体大,12-10 07:16
1004,307,0,衡水市财政局,12-10 07:02
1005,374,3,空中加油失败，准备跌停。明天低开5个点,12-10 06:53
1006,253,1,借红星这把旺火，高举高打，昨日空中加油后，后市必连续涨停破30元,12-10 06:52
1007,491,8,老白干酒11月的月线红似火！,12-10 05:45
1008,207,1,今天收十字星，准备上升啦,12-10 05:43
1009,166,1,明天再来涨停你们又怎么说呢,12-10 05:21
1010,658,8,我22.29进来了这个股是不是到头了哈哈哈哈,12-10 04:54
1011,179,1,空中加油，不排除突然连续涨停,12-10 04:22
1012,757,1,老白干虽然是金牌老字号，但没有业绩凭什么上涨？总想进入一类酒业恐怕难难难！大家不,12-10 03:27
1013,506,6,啊哈哈哈哈，痛定思痛，已经悟出至高一剑，云煤能源，赶紧买入坐等发财吧，,12-10 03:18
1014,341,0,老白干酒12月09日被沪股通减持440.12万股,12-10 03:16
1015,266,2,散户都吓，估计跑完了,12-10 01:08
1016,241,2,核按钮,12-10 01:04
1017,4307,23,下午来两点前，一直在想，要进金枫酒业，还是老白干酒，看着这三天表现，老白干像是龙,12-10 00:56
1018,640,7,啊哈哈哈哈哈，老白干的弟兄们赶紧买入云煤能源呀，这可是要发财的票子，老白干我不想,12-09 23:58
1019,371,2,啊哈哈哈哈，全割了，兵家之耻，全仓云煤能源，赶紧来吧，要发财了，这次不会输了，中,12-09 23:46
1020,800,3,老白干，知名酒企，给予35元长线目标评级,12-09 23:42
1021,559,9,我23的在山顶很凉快，有同在的吗,12-09 23:26
1022,351,2,老白干真心很不错，可以进一线高端白酒档次,12-09 23:22
1023,309,2,尾盘诱多，短线暂时没机会了,12-09 22:59
1024,195,0,有量交投活跃。又是历史名酒，还不止一个历史名酒,12-09 22:51
1025,425,2,红盘止盈了,12-09 22:49
1026,578,7,封盘无力，明天跌停，立贴为证,12-09 22:41
1027,702,0,老白干好不好、无非还是看市场对酒认同不、就像茅台一样…市场需求量大、供不应求、总,12-09 22:38
1028,159,0,自律、上进、说话优雅、游戏无瘾、稳重、对生活多些理解和关怀、多些思考！,12-09 22:32
1029,628,7,本来走出V型反转的超级大牛图,12-09 22:31
1030,252,2,是任何反弹的时都是减仓机会。,12-09 22:04
1031,726,0,老白干酒：酿酒；公司自15年完成混改之后，并购目前也已经完成，无论从经营层面还是,12-09 21:51
1032,1067,12,白酒板块大涨，金徽酒直线封板，老白干酒是河北地区优质企业，有知明品牌衡水老白干，,12-09 21:47
1033,2308,5,老白干有三个系列品牌，高端品牌是1915的67度老贵了。一瓶干了我3288，收藏,12-09 21:43
1034,233,1,那个航天基金怎么在白酒股里啊，挂羊头卖狗肉,12-10 00:16
1035,776,4,一个ST都70元了，有什么还不加仓的？随便一个十八坊，板城烧锅，武陵酒，每个单独,12-09 21:37
1036,284,0,67度白酒有能防新冠。这一谣。市值超过飞龙了[得意],12-09 21:36
1037,2519,0,当资本疯狂追逐一个板块与个股时，我们普通人无法想像并难以理解、到最后心情压力无比,12-09 21:35
1038,637,6,兄弟们今天没跑吧？坚持、坚强、拥有坚定的信念[拳头][强壮][火箭],12-09 21:31
1039,976,8,涨幅过大，回避,12-09 21:29
1040,283,0,榆林煤炭交易中心数据，12月8日榆阳区煤炭价格495元/吨比去年同期(2019年,12-09 21:21
1041,549,5,满仓持股，明天怎么说。,12-09 21:20
1042,480,6,我21.45入的17.83出了，可是现在每天还是忍不住来这里看看，我也不知道为什,12-09 21:16
1043,433,0,老白干酒今日热门盘点,12-09 21:09
1044,1349,0,硅铁二度涨停之后...,12-09 21:03
1045,241,2,今天没买青稞酒，买了老白干成了接盘侠[哭][哭][哭],12-09 20:47
1046,270,1,A股总是喜欢在你认为无药可救的时候『起来了』，A股总是喜欢在你认为朝气蓬勃的时候,12-09 20:45
1047,240,0,转发,12-09 20:31
1048,338,1,该股绝对不止过30,12-09 20:28
1049,1058,5,看看酒鬼酒，你就有信心了，酒鬼酒跟老白干比，名气是不是要稍微逊色一点？[想一下],12-09 20:20
1050,255,0,怕啥子？涨了几天是该回调下，反正我是满仓，我是看好老百干的，其它亏损股都比它涨的,12-09 20:14
1051,223,0,我把军工科技赔钱货统卖血溅A股。买了菁菁和老白。70/30。昨天是50/50,12-09 20:13
1052,500,2,仁东三十亿融资资金被困，老白干今天流出三亿资金，一个点也没跌，实力不允许呀,12-09 20:11
1053,176,1,当初18块割的老白干，20多又买回来[哭][哭][哭],12-09 20:08
1054,217,0,要是明天老白干大涨，果断买老白干白酒庆贺,12-09 20:01
1055,159,0,拿好就对了,12-09 19:59
1056,194,0,又要到20以下了，蓄势待发，吧，会冲的更高,12-09 19:59
1057,179,0,空中加油，明天涨停,12-09 19:58
1058,178,1,一只胡蝶是有病的。,12-09 19:55
1059,444,3,今天早盘补了20手，忘了T，一看账户只剩下买10手的钱，一项不爱重仓的我哭晕在厕,12-09 19:55
1060,692,7,十年大顶等着你们，珍爱生命远离老白干酒,12-09 19:55
1061,141,0,那么多小单去送死,12-09 19:54
1062,287,1,我想一问酒粉们，武陵酒是不是酱香酒，是不是可以象茅台那样越存越值钱？,12-09 19:54
1063,503,5,一涨就激动，一激动就追，一追就被套，一套就骂庄，一骂庄就暴跌，一暴跌就割肉，一割,12-09 19:51
1064,174,0,鸡尾酒都涨停了[好困惑],12-09 19:49
1065,325,3,干不过青青粿酒,12-09 19:43
1066,729,1,很多时候我们就喜欢自以为是。对拉对敲也可以的。卖出的筹码是实在的。 谁会这个价位,12-09 19:42
1067,1504,0,可以理解大多散户的心慌，总迫切的想知道明天是什么样的走势。可能是最近吃老白干三连,12-09 19:41
1068,494,4,庄家出货,12-09 19:37
1069,141,0,，唉要把持住定好目标，,12-09 19:36
1070,151,0,今天散户都来了，明天要跌了,12-09 19:34
1071,165,0,迟点又有人感叹，早知不卖就好了[大笑][大笑][大笑],12-09 19:34
1072,16499,5,白酒业绩亮眼，食品饮料能否持续正增长？,12-09 19:28
1073,237,0,只要白酒板块红的。就好了。因为跌不到哪里去。反而涨会板。所以我守这个跨年行情，也,12-09 19:04
1074,297,1,明天创新高,12-09 19:03
1075,196,0,明天低开三个点。吓跑小散们。然后磨到尾拉红。这就是说不带小散们玩。因为叫建仓,12-09 19:03
1076,302,4,衡水老白干，喝出男人味！,12-09 18:59
1077,291,0,今天全部卖完了，感觉今天进了很多资金，还要涨。但是宁愿少赚点，也不承担太大风险。,12-09 18:30
1078,316,1,明天贵茅上两千,12-09 18:18
1079,579,3,4个多点买进以为涨停，结果跌坑了，还是青青酒好,12-09 18:17
1080,182,0,估计没有更上,12-09 18:07
1081,288,2,23.65啥时候回？[哭],12-09 17:55
1082,763,6,今天建仓买入成本22.6还有机会吗[为什么][为什么][为什么],12-09 17:51
1083,261,2,高位清了，回调再买。出了2个亿的资金。留下的发财,12-09 17:38
1084,403,0,大盘失守3400，大部分板块惨淡，尾盘白酒急拉又急跌，看了看自己口袋，既然前途不,12-09 17:29
1085,690,2,老白干酒：主力净流出3.7亿元，两市排名第15（12-09）,12-09 17:19
1086,1112,5,今天主力出了五个多亿都没跌一个点，我想明天不会大幅度跌五个点下吧！,12-09 17:16
1087,488,4,都是赌博人性啊，开盘冲高没走，22.30加仓[撇嘴]尾盘第二次冲高想走又撤了，因,12-09 17:10
1088,291,0,豹子号出现老白干酒扛起白酒领涨大旗,12-09 17:07
1089,422,0,流出三个多亿，主力护盘应该是很成功了，总市值站稳二百亿，相信明天会有不错表现！,12-09 17:02
1090,248,0,明天我看多,12-09 16:54
1091,21308,11,年少不知白酒香？看好改善明显的成长性白酒,12-09 16:51
1092,304,1,这么高的换手率竟然没榜？,12-09 16:50
1093,318,1,我猜明天一个低开你们就要丢掉筹码了,12-09 16:47
1094,208,0,一堆看多多,12-09 16:46
1095,742,1,老白干一个月接近翻倍，可还是便宜，武陵酒未来有两个确定性一：是武陵酒在省内的销售,12-09 16:46
1096,919,0,在下新发现一只白酒低位股！　。,12-09 16:40
1097,267,2,17、18的时候都不买，等到22、23才买，然后说垃圾,12-09 16:38
1098,200,0,兔子割割！,12-09 16:36
1099,292,1,明天要起飞了,12-09 16:36
1100,715,13,明天跌停，没有跑的傻眼,12-09 16:35
1101,320,0,看看天齐锂业当时22无人问津现在32一堆人挂涨停买相信老白干也会如此[微笑]票拿,12-09 16:33
1102,193,1,23.23进的，刚进就跌，,12-09 16:30
1103,332,3,涨到头了，明天跌7%以上,12-09 16:29
1104,493,2,今天22.85进入，是否追高了？明天能上23元吗？,12-09 16:28
1105,480,2,预感明天大幅低开了,12-09 16:25
1106,626,4,高手师傅说：老白干明天低开低走，各位见证,12-09 16:25
